# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -0.640   Z = 0.0035651   Y = 0.25208607   Age (Myr) = 13500.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -3.01902  3.47450   13.4342  15.0539  12.2167
   0.1003046434   0.1003046434  -3.01394  3.47519   13.4153  15.0260  12.2003
   0.1006092868   0.1006092868  -3.00887  3.47587   13.3966  14.9983  12.1840
   0.1009139302   0.1009139302  -3.00382  3.47655   13.3778  14.9707  12.1677
   0.1012185736   0.1012185736  -2.99878  3.47723   13.3592  14.9433  12.1516
   0.1015232171   0.1015232171  -2.99376  3.47790   13.3407  14.9161  12.1354
   0.1018278605   0.1018278605  -2.98878  3.47857   13.3223  14.8893  12.1195
   0.1021325039   0.1021325039  -2.98382  3.47924   13.3040  14.8627  12.1036
   0.1024371473   0.1024371473  -2.97887  3.47991   13.2858  14.8362  12.0878
   0.1027417907   0.1027417907  -2.97394  3.48057   13.2677  14.8099  12.0720
   0.1030464341   0.1030464341  -2.96901  3.48123   13.2496  14.7838  12.0563
   0.1033510775   0.1033510775  -2.96409  3.48189   13.2316  14.7579  12.0407
   0.1036557209   0.1036557209  -2.95919  3.48255   13.2136  14.7321  12.0251
   0.1039603643   0.1039603643  -2.95430  3.48321   13.1958  14.7064  12.0095
   0.1042650078   0.1042650078  -2.94942  3.48387   13.1779  14.6809  11.9941
   0.1045696512   0.1045696512  -2.94455  3.48453   13.1602  14.6556  11.9786
   0.1048742946   0.1048742946  -2.93971  3.48518   13.1426  14.6305  11.9633
   0.1051789380   0.1051789380  -2.93489  3.48582   13.1251  14.6057  11.9481
   0.1054835814   0.1054835814  -2.93009  3.48647   13.1076  14.5810  11.9329
   0.1057882248   0.1057882248  -2.92529  3.48712   13.0902  14.5564  11.9178
   0.1060928682   0.1060928682  -2.92051  3.48776   13.0729  14.5320  11.9027
   0.1063975116   0.1063975116  -2.91573  3.48840   13.0557  14.5078  11.8877
   0.1067021550   0.1067021550  -2.91096  3.48905   13.0384  14.4836  11.8727
   0.1070067985   0.1070067985  -2.90621  3.48969   13.0213  14.4597  11.8578
   0.1073114419   0.1073114419  -2.90148  3.49032   13.0043  14.4359  11.8429
   0.1076160853   0.1076160853  -2.89677  3.49096   12.9873  14.4123  11.8282
   0.1079207287   0.1079207287  -2.89206  3.49159   12.9704  14.3889  11.8134
   0.1082253721   0.1082253721  -2.88736  3.49222   12.9536  14.3655  11.7987
   0.1085300155   0.1085300155  -2.88268  3.49285   12.9368  14.3423  11.7841
   0.1088346589   0.1088346589  -2.87799  3.49348   12.9200  14.3193  11.7695
   0.1091393023   0.1091393023  -2.87334  3.49411   12.9034  14.2964  11.7550
   0.1094439457   0.1094439457  -2.86869  3.49474   12.8868  14.2736  11.7405
   0.1097485892   0.1097485892  -2.86405  3.49536   12.8703  14.2510  11.7260
   0.1100532326   0.1100532326  -2.85942  3.49598   12.8539  14.2285  11.7116
   0.1103578760   0.1103578760  -2.85480  3.49661   12.8374  14.2061  11.6973
   0.1106625194   0.1106625194  -2.85019  3.49723   12.8211  14.1839  11.6830
   0.1109671628   0.1109671628  -2.84560  3.49785   12.8048  14.1618  11.6688
   0.1112718062   0.1112718062  -2.84101  3.49846   12.7886  14.1398  11.6546
   0.1115764496   0.1115764496  -2.83642  3.49908   12.7725  14.1179  11.6404
   0.1118810930   0.1118810930  -2.83185  3.49970   12.7564  14.0961  11.6263
   0.1121857364   0.1121857364  -2.82729  3.50031   12.7403  14.0745  11.6123
   0.1124903799   0.1124903799  -2.82274  3.50093   12.7243  14.0529  11.5983
   0.1127950233   0.1127950233  -2.81819  3.50154   12.7084  14.0315  11.5844
