# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -2.270   Z = 0.0000845   Y = 0.24711767   Age (Myr) = 13000.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.86918  3.53318   12.3952  13.4397  11.4200
   0.1002093895   0.1002093895  -2.86561  3.53361   12.3845  13.4280  11.4105
   0.1004187791   0.1004187791  -2.86204  3.53403   12.3739  13.4162  11.4011
   0.1006281686   0.1006281686  -2.85848  3.53445   12.3633  13.4045  11.3917
   0.1008375582   0.1008375582  -2.85492  3.53487   12.3528  13.3927  11.3823
   0.1010469477   0.1010469477  -2.85137  3.53529   12.3423  13.3810  11.3729
   0.1012563372   0.1012563372  -2.84783  3.53571   12.3318  13.3693  11.3636
   0.1014657268   0.1014657268  -2.84429  3.53613   12.3213  13.3576  11.3543
   0.1016751163   0.1016751163  -2.84075  3.53655   12.3109  13.3459  11.3450
   0.1018845059   0.1018845059  -2.83723  3.53696   12.3005  13.3343  11.3357
   0.1020938954   0.1020938954  -2.83373  3.53738   12.2903  13.3227  11.3265
   0.1023032849   0.1023032849  -2.83024  3.53779   12.2800  13.3111  11.3173
   0.1025126745   0.1025126745  -2.82675  3.53821   12.2698  13.2996  11.3082
   0.1027220640   0.1027220640  -2.82327  3.53862   12.2597  13.2881  11.2991
   0.1029314535   0.1029314535  -2.81980  3.53903   12.2496  13.2766  11.2900
   0.1031408431   0.1031408431  -2.81633  3.53944   12.2395  13.2651  11.2809
   0.1033502326   0.1033502326  -2.81286  3.53985   12.2294  13.2536  11.2718
   0.1035596222   0.1035596222  -2.80940  3.54026   12.2194  13.2421  11.2628
   0.1037690117   0.1037690117  -2.80595  3.54067   12.2095  13.2307  11.2538
   0.1039784012   0.1039784012  -2.80251  3.54108   12.1996  13.2193  11.2448
   0.1041877908   0.1041877908  -2.79909  3.54148   12.1898  13.2080  11.2359
   0.1043971803   0.1043971803  -2.79567  3.54189   12.1800  13.1967  11.2269
   0.1046065699   0.1046065699  -2.79226  3.54230   12.1702  13.1854  11.2180
   0.1048159594   0.1048159594  -2.78884  3.54270   12.1605  13.1741  11.2092
   0.1050253489   0.1050253489  -2.78544  3.54310   12.1508  13.1628  11.2003
   0.1052347385   0.1052347385  -2.78203  3.54351   12.1412  13.1516  11.1914
   0.1054441280   0.1054441280  -2.77864  3.54391   12.1316  13.1404  11.1826
   0.1056535176   0.1056535176  -2.77527  3.54431   12.1221  13.1292  11.1738
   0.1058629071   0.1058629071  -2.77190  3.54471   12.1127  13.1181  11.1651
   0.1060722966   0.1060722966  -2.76853  3.54511   12.1032  13.1070  11.1563
