# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -2.270   Z = 0.0000845   Y = 0.24711767   Age (Myr) = 14000.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.86939  3.53317   12.3957  13.4403  11.4205
   0.1002009536   0.1002009536  -2.86596  3.53357   12.3855  13.4290  11.4114
   0.1004019073   0.1004019073  -2.86253  3.53398   12.3753  13.4177  11.4024
   0.1006028609   0.1006028609  -2.85911  3.53439   12.3651  13.4064  11.3933
   0.1008038145   0.1008038145  -2.85569  3.53479   12.3550  13.3952  11.3843
   0.1010047682   0.1010047682  -2.85228  3.53519   12.3449  13.3839  11.3753
   0.1012057218   0.1012057218  -2.84888  3.53560   12.3348  13.3727  11.3663
   0.1014066754   0.1014066754  -2.84548  3.53600   12.3248  13.3615  11.3574
   0.1016076291   0.1016076291  -2.84211  3.53640   12.3148  13.3503  11.3485
   0.1018085827   0.1018085827  -2.83874  3.53680   12.3049  13.3392  11.3397
   0.1020095363   0.1020095363  -2.83539  3.53720   12.2951  13.3281  11.3308
   0.1022104900   0.1022104900  -2.83203  3.53759   12.2852  13.3170  11.3220
   0.1024114436   0.1024114436  -2.82869  3.53799   12.2754  13.3059  11.3132
   0.1026123973   0.1026123973  -2.82534  3.53839   12.2657  13.2948  11.3045
   0.1028133509   0.1028133509  -2.82200  3.53878   12.2559  13.2838  11.2957
   0.1030143045   0.1030143045  -2.81867  3.53918   12.2462  13.2727  11.2870
   0.1032152582   0.1032152582  -2.81533  3.53957   12.2365  13.2617  11.2783
   0.1034162118   0.1034162118  -2.81202  3.53996   12.2269  13.2507  11.2696
   0.1036171654   0.1036171654  -2.80872  3.54036   12.2174  13.2398  11.2610
   0.1038181191   0.1038181191  -2.80542  3.54075   12.2079  13.2289  11.2524
   0.1040190727   0.1040190727  -2.80213  3.54114   12.1984  13.2180  11.2438
   0.1042200263   0.1042200263  -2.79884  3.54153   12.1890  13.2071  11.2352
   0.1044209800   0.1044209800  -2.79556  3.54192   12.1796  13.1962  11.2266
   0.1046219336   0.1046219336  -2.79228  3.54231   12.1702  13.1853  11.2181
   0.1048228872   0.1048228872  -2.78900  3.54270   12.1609  13.1745  11.2095
   0.1050238409   0.1050238409  -2.78575  3.54308   12.1517  13.1637  11.2011
   0.1052247945   0.1052247945  -2.78250  3.54347   12.1425  13.1530  11.1926
   0.1054257481   0.1054257481  -2.77925  3.54385   12.1333  13.1422  11.1842
   0.1056267018   0.1056267018  -2.77601  3.54424   12.1242  13.1315  11.1757
   0.1058276554   0.1058276554  -2.77277  3.54462   12.1151  13.1208  11.1673
   0.1060286090   0.1060286090  -2.76953  3.54501   12.1060  13.1101  11.1589
   0.1062295627   0.1062295627  -2.76631  3.54539   12.0970  13.0995  11.1505
   0.1064305163   0.1064305163  -2.76309  3.54577   12.0880  13.0889  11.1422
   0.1066314700   0.1066314700  -2.75988  3.54615   12.0791  13.0783  11.1339
   0.1068324236   0.1068324236  -2.75667  3.54653   12.0702  13.0677  11.1255
   0.1070333772   0.1070333772  -2.75346  3.54691   12.0613  13.0572  11.1172
   0.1072343309   0.1072343309  -2.75026  3.54729   12.0525  13.0466  11.1089
   0.1074352845   0.1074352845  -2.74708  3.54767   12.0437  13.0361  11.1007
   0.1076362381   0.1076362381  -2.74389  3.54805   12.0350  13.0256  11.0924
   0.1078371918   0.1078371918  -2.74071  3.54843   12.0262  13.0151  11.0842
   0.1080381454   0.1080381454  -2.73753  3.54881   12.0175  13.0047  11.0760
