# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -1.250   Z = 0.0008823   Y = 0.24801591   Age (Myr) = 11500.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.96303  3.49672   12.9706  14.2354  11.8744
   0.1002865251   0.1002865251  -2.95818  3.49735   12.9555  14.2164  11.8607
   0.1005730502   0.1005730502  -2.95334  3.49797   12.9404  14.1975  11.8472
   0.1008595753   0.1008595753  -2.94850  3.49860   12.9253  14.1786  11.8336
   0.1011461004   0.1011461004  -2.94369  3.49922   12.9103  14.1598  11.8201
   0.1014326255   0.1014326255  -2.93888  3.49984   12.8953  14.1410  11.8067
   0.1017191506   0.1017191506  -2.93409  3.50046   12.8804  14.1223  11.7932
   0.1020056757   0.1020056757  -2.92933  3.50108   12.8656  14.1037  11.7799
   0.1022922008   0.1022922008  -2.92460  3.50169   12.8508  14.0853  11.7667
   0.1025787259   0.1025787259  -2.91987  3.50231   12.8361  14.0668  11.7535
   0.1028652510   0.1028652510  -2.91516  3.50292   12.8215  14.0484  11.7403
   0.1031517761   0.1031517761  -2.91046  3.50353   12.8069  14.0301  11.7272
   0.1034383012   0.1034383012  -2.90577  3.50414   12.7923  14.0118  11.7142
   0.1037248263   0.1037248263  -2.90108  3.50474   12.7778  13.9935  11.7012
   0.1040113514   0.1040113514  -2.89641  3.50535   12.7633  13.9753  11.6882
   0.1042978765   0.1042978765  -2.89175  3.50595   12.7489  13.9571  11.6753
   0.1045844016   0.1045844016  -2.88710  3.50655   12.7345  13.9390  11.6624
   0.1048709268   0.1048709268  -2.88246  3.50715   12.7201  13.9209  11.6495
   0.1051574519   0.1051574519  -2.87786  3.50775   12.7059  13.9029  11.6368
   0.1054439770   0.1054439770  -2.87326  3.50835   12.6917  13.8850  11.6241
   0.1057305021   0.1057305021  -2.86868  3.50894   12.6775  13.8671  11.6114
   0.1060170272   0.1060170272  -2.86410  3.50953   12.6634  13.8493  11.5988
   0.1063035523   0.1063035523  -2.85953  3.51013   12.6493  13.8316  11.5861
   0.1065900774   0.1065900774  -2.85497  3.51072   12.6352  13.8139  11.5735
   0.1068766025   0.1068766025  -2.85042  3.51131   12.6211  13.7962  11.5609
   0.1071631276   0.1071631276  -2.84589  3.51189   12.6071  13.7787  11.5483
   0.1074496527   0.1074496527  -2.84138  3.51248   12.5931  13.7613  11.5358
   0.1077361778   0.1077361778  -2.83688  3.51306   12.5791  13.7439  11.5232
   0.1080227029   0.1080227029  -2.83238  3.51365   12.5652  13.7266  11.5107
   0.1083092280   0.1083092280  -2.82789  3.51423   12.5513  13.7094  11.4981
   0.1085957531   0.1085957531  -2.82341  3.51481   12.5373  13.6922  11.4855
   0.1088822782   0.1088822782  -2.81895  3.51539   12.5234  13.6752  11.4729
   0.1091688033   0.1091688033  -2.81450  3.51596   12.5095  13.6582  11.4604
   0.1094553284   0.1094553284  -2.81006  3.51654   12.4956  13.6413  11.4478
   0.1097418535   0.1097418535  -2.80562  3.51711   12.4818  13.6245  11.4352
   0.1100283786   0.1100283786  -2.80119  3.51769   12.4679  13.6078  11.4225
   0.1103149037   0.1103149037  -2.79678  3.51826   12.4540  13.5912  11.4099
   0.1106014288   0.1106014288  -2.79237  3.51883   12.4401  13.5747  11.3972
   0.1108879539   0.1108879539  -2.78798  3.51940   12.4262  13.5583  11.3845
   0.1111744790   0.1111744790  -2.78359  3.51997   12.4123  13.5420  11.3717
   0.1114610041   0.1114610041  -2.77921  3.52054   12.3984  13.5257  11.3589
   0.1117475292   0.1117475292  -2.77484  3.52110   12.3846  13.5095  11.3461
   0.1120340543   0.1120340543  -2.77048  3.52167   12.3707  13.4935  11.3333
   0.1123205794   0.1123205794  -2.76612  3.52223   12.3568  13.4774  11.3205
   0.1126071045   0.1126071045  -2.76177  3.52280   12.3429  13.4615  11.3076
   0.1128936296   0.1128936296  -2.75743  3.52336   12.3290  13.4456  11.2948
   0.1131801547   0.1131801547  -2.75309  3.52392   12.3152  13.4298  11.2819
   0.1134666798   0.1134666798  -2.74876  3.52448   12.3013  13.4141  11.2691
   0.1137532049   0.1137532049  -2.74445  3.52504   12.2875  13.3984  11.2562
   0.1140397301   0.1140397301  -2.74013  3.52560   12.2737  13.3827  11.2433
   0.1143262552   0.1143262552  -2.73582  3.52615   12.2599  13.3672  11.2305
   0.1146127803   0.1146127803  -2.73152  3.52671   12.2461  13.3516  11.2177
   0.1148993054   0.1148993054  -2.72722  3.52727   12.2323  13.3361  11.2048
   0.1151858305   0.1151858305  -2.72292  3.52782   12.2185  13.3207  11.1920
   0.1154723556   0.1154723556  -2.71863  3.52838   12.2048  13.3053  11.1792
   0.1157588807   0.1157588807  -2.71434  3.52893   12.1911  13.2899  11.1665
   0.1160454058   0.1160454058  -2.71006  3.52948   12.1774  13.2745  11.1537
   0.1163319309   0.1163319309  -2.70579  3.53003   12.1637  13.2592  11.1410
   0.1166184560   0.1166184560  -2.70151  3.53059   12.1501  13.2440  11.1283
   0.1169049811   0.1169049811  -2.69724  3.53114   12.1365  13.2287  11.1157
   0.1171915062   0.1171915062  -2.69297  3.53169   12.1229  13.2135  11.1030
   0.1174780313   0.1174780313  -2.68870  3.53224   12.1094  13.1982  11.0905
   0.1177645564   0.1177645564  -2.68443  3.53278   12.0958  13.1830  11.0779
   0.1180510815   0.1180510815  -2.68017  3.53333   12.0823  13.1678  11.0654
   0.1183376066   0.1183376066  -2.67591  3.53388   12.0689  13.1526  11.0530
   0.1186241317   0.1186241317  -2.67165  3.53443   12.0554  13.1375  11.0405
   0.1189106568   0.1189106568  -2.66739  3.53497   12.0420  13.1223  11.0282
   0.1191971819   0.1191971819  -2.66313  3.53552   12.0286  13.1071  11.0158
   0.1194837070   0.1194837070  -2.65887  3.53607   12.0153  13.0919  11.0035
   0.1197702321   0.1197702321  -2.65461  3.53661   12.0019  13.0768  10.9912
   0.1200567572   0.1200567572  -2.65064  3.53710   11.9896  13.0628  10.9798
   0.1203432823   0.1203432823  -2.64785  3.53736   11.9813  13.0536  10.9721
   0.1206298074   0.1206298074  -2.64506  3.53762   11.9731  13.0444  10.9643
   0.1209163325   0.1209163325  -2.64228  3.53788   11.9649  13.0353  10.9566
   0.1212028576   0.1212028576  -2.63951  3.53814   11.9567  13.0262  10.9490
   0.1214893827   0.1214893827  -2.63674  3.53839   11.9485  13.0171  10.9413
   0.1217759078   0.1217759078  -2.63398  3.53865   11.9404  13.0080  10.9337
   0.1220624329   0.1220624329  -2.63122  3.53891   11.9322  12.9989  10.9261
   0.1223489580   0.1223489580  -2.62847  3.53917   11.9241  12.9898  10.9185
   0.1226354831   0.1226354831  -2.62572  3.53942   11.9160  12.9808  10.9110
   0.1229220082   0.1229220082  -2.62299  3.53968   11.9080  12.9717  10.9034
