# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -0.630   Z = 0.0036481   Y = 0.25208607   Age (Myr) = 11500.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -3.01951  3.47420   13.4417  15.0695  12.2220
   0.1003262530   0.1003262530  -3.01408  3.47493   13.4215  15.0395  12.2044
   0.1006525060   0.1006525060  -3.00866  3.47566   13.4013  15.0096  12.1869
   0.1009787590   0.1009787590  -3.00325  3.47639   13.3813  14.9800  12.1694
   0.1013050120   0.1013050120  -2.99786  3.47711   13.3613  14.9505  12.1521
   0.1016312650   0.1016312650  -2.99249  3.47784   13.3414  14.9213  12.1348
   0.1019575180   0.1019575180  -2.98713  3.47856   13.3216  14.8923  12.1176
   0.1022837709   0.1022837709  -2.98179  3.47928   13.3018  14.8635  12.1004
   0.1026100239   0.1026100239  -2.97646  3.47999   13.2822  14.8349  12.0834
   0.1029362769   0.1029362769  -2.97117  3.48071   13.2627  14.8066  12.0664
   0.1032625299   0.1032625299  -2.96591  3.48142   13.2433  14.7786  12.0496
   0.1035887829   0.1035887829  -2.96067  3.48212   13.2241  14.7508  12.0329
   0.1039150359   0.1039150359  -2.95543  3.48283   13.2049  14.7232  12.0162
   0.1042412889   0.1042412889  -2.95021  3.48353   13.1858  14.6958  11.9996
   0.1045675419   0.1045675419  -2.94500  3.48423   13.1667  14.6685  11.9831
   0.1048937949   0.1048937949  -2.93981  3.48493   13.1478  14.6415  11.9666
   0.1052200479   0.1052200479  -2.93463  3.48563   13.1289  14.6146  11.9502
   0.1055463009   0.1055463009  -2.92946  3.48633   13.1100  14.5879  11.9338
   0.1058725539   0.1058725539  -2.92430  3.48702   13.0913  14.5613  11.9175
   0.1061988069   0.1061988069  -2.91917  3.48771   13.0727  14.5351  11.9013
   0.1065250598   0.1065250598  -2.91407  3.48840   13.0542  14.5090  11.8853
   0.1068513128   0.1068513128  -2.90898  3.48908   13.0358  14.4832  11.8692
   0.1071775658   0.1071775658  -2.90390  3.48977   13.0174  14.4575  11.8533
   0.1075038188   0.1075038188  -2.89884  3.49045   12.9991  14.4319  11.8373
   0.1078300718   0.1078300718  -2.89378  3.49113   12.9809  14.4065  11.8215
   0.1081563248   0.1081563248  -2.88873  3.49181   12.9628  14.3813  11.8056
   0.1084825778   0.1084825778  -2.88370  3.49249   12.9447  14.3563  11.7899
   0.1088088308   0.1088088308  -2.87870  3.49316   12.9268  14.3315  11.7742
   0.1091350838   0.1091350838  -2.87371  3.49384   12.9089  14.3068  11.7586
   0.1094613368   0.1094613368  -2.86872  3.49451   12.8911  14.2823  11.7431
   0.1097875898   0.1097875898  -2.86375  3.49518   12.8733  14.2579  11.7275
   0.1101138428   0.1101138428  -2.85878  3.49585   12.8556  14.2337  11.7121
   0.1104400957   0.1104400957  -2.85384  3.49651   12.8380  14.2096  11.6967
   0.1107663487   0.1107663487  -2.84891  3.49718   12.8205  14.1858  11.6814
   0.1110926017   0.1110926017  -2.84399  3.49784   12.8030  14.1620  11.6661
   0.1114188547   0.1114188547  -2.83908  3.49850   12.7856  14.1384  11.6509
   0.1117451077   0.1117451077  -2.83417  3.49917   12.7683  14.1149  11.6358
   0.1120713607   0.1120713607  -2.82929  3.49982   12.7511  14.0916  11.6207
   0.1123976137   0.1123976137  -2.82441  3.50048   12.7339  14.0684  11.6057
   0.1127238667   0.1127238667  -2.81954  3.50114   12.7168  14.0453  11.5907
   0.1130501197   0.1130501197  -2.81468  3.50179   12.6997  14.0223  11.5758
   0.1133763727   0.1133763727  -2.80984  3.50245   12.6828  13.9995  11.5609
   0.1137026257   0.1137026257  -2.80500  3.50310   12.6659  13.9768  11.5461
   0.1140288787   0.1140288787  -2.80017  3.50375   12.6490  13.9542  11.5314
   0.1143551317   0.1143551317  -2.79534  3.50440   12.6322  13.9317  11.5167
   0.1146813846   0.1146813846  -2.79053  3.50505   12.6155  13.9094  11.5021
   0.1150076376   0.1150076376  -2.78573  3.50570   12.5989  13.8871  11.4875
   0.1153338906   0.1153338906  -2.78092  3.50635   12.5823  13.8649  11.4730
   0.1156601436   0.1156601436  -2.77613  3.50699   12.5657  13.8429  11.4585
   0.1159863966   0.1159863966  -2.77135  3.50764   12.5492  13.8209  11.4441
   0.1163126496   0.1163126496  -2.76657  3.50829   12.5328  13.7990  11.4297
   0.1166389026   0.1166389026  -2.76180  3.50893   12.5163  13.7772  11.4153
   0.1169651556   0.1169651556  -2.75703  3.50957   12.4999  13.7555  11.4009
   0.1172914086   0.1172914086  -2.75226  3.51022   12.4836  13.7338  11.3866
   0.1176176616   0.1176176616  -2.74750  3.51086   12.4672  13.7122  11.3723
   0.1179439146   0.1179439146  -2.74275  3.51150   12.4508  13.6907  11.3579
   0.1182701676   0.1182701676  -2.73799  3.51214   12.4345  13.6692  11.3436
