# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -1.810   Z = 0.0002437   Y = 0.24724580   Age (Myr) = 14000.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.91028  3.51708   12.6557  13.7714  11.6238
   0.1002297189   0.1002297189  -2.90639  3.51756   12.6443  13.7580  11.6133
   0.1004594379   0.1004594379  -2.90250  3.51804   12.6329  13.7448  11.6028
   0.1006891568   0.1006891568  -2.89861  3.51852   12.6215  13.7315  11.5922
   0.1009188757   0.1009188757  -2.89474  3.51900   12.6101  13.7183  11.5816
   0.1011485946   0.1011485946  -2.89087  3.51948   12.5986  13.7052  11.5710
   0.1013783136   0.1013783136  -2.88701  3.51996   12.5872  13.6921  11.5603
   0.1016080325   0.1016080325  -2.88315  3.52044   12.5757  13.6791  11.5496
   0.1018377514   0.1018377514  -2.87931  3.52091   12.5642  13.6661  11.5388
   0.1020674703   0.1020674703  -2.87547  3.52139   12.5527  13.6532  11.5281
   0.1022971893   0.1022971893  -2.87165  3.52186   12.5412  13.6403  11.5173
   0.1025269082   0.1025269082  -2.86785  3.52233   12.5298  13.6275  11.5066
   0.1027566271   0.1027566271  -2.86405  3.52280   12.5183  13.6147  11.4958
   0.1029863460   0.1029863460  -2.86026  3.52327   12.5069  13.6020  11.4851
   0.1032160650   0.1032160650  -2.85648  3.52374   12.4954  13.5893  11.4743
   0.1034457839   0.1034457839  -2.85271  3.52421   12.4840  13.5767  11.4635
   0.1036755028   0.1036755028  -2.84894  3.52468   12.4725  13.5641  11.4527
   0.1039052218   0.1039052218  -2.84517  3.52515   12.4611  13.5515  11.4419
   0.1041349407   0.1041349407  -2.84141  3.52561   12.4496  13.5389  11.4311
   0.1043646596   0.1043646596  -2.83768  3.52607   12.4383  13.5264  11.4204
   0.1045943785   0.1045943785  -2.83395  3.52654   12.4269  13.5140  11.4097
   0.1048240975   0.1048240975  -2.83024  3.52700   12.4156  13.5016  11.3990
   0.1050538164   0.1050538164  -2.82652  3.52746   12.4042  13.4892  11.3883
   0.1052835353   0.1052835353  -2.82281  3.52792   12.3929  13.4768  11.3776
   0.1055132542   0.1055132542  -2.81911  3.52838   12.3816  13.4645  11.3670
   0.1057429732   0.1057429732  -2.81541  3.52884   12.3703  13.4521  11.3563
   0.1059726921   0.1059726921  -2.81173  3.52929   12.3591  13.4398  11.3457
   0.1062024110   0.1062024110  -2.80806  3.52975   12.3479  13.4276  11.3352
   0.1064321300   0.1064321300  -2.80440  3.53020   12.3367  13.4154  11.3247
   0.1066618489   0.1066618489  -2.80074  3.53066   12.3256  13.4031  11.3142
   0.1068915678   0.1068915678  -2.79708  3.53111   12.3144  13.3909  11.3038
   0.1071212867   0.1071212867  -2.79343  3.53156   12.3034  13.3787  11.2934
   0.1073510057   0.1073510057  -2.78980  3.53201   12.2923  13.3666  11.2830
   0.1075807246   0.1075807246  -2.78617  3.53246   12.2814  13.3545  11.2728
