# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -1.690   Z = 0.0003209   Y = 0.24739747   Age (Myr) = 12000.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.92159  3.51263   12.7190  13.8608  11.6755
   0.1002625337   0.1002625337  -2.91710  3.51320   12.7061  13.8450  11.6637
   0.1005250673   0.1005250673  -2.91262  3.51376   12.6931  13.8293  11.6519
   0.1007876010   0.1007876010  -2.90817  3.51431   12.6802  13.8136  11.6401
   0.1010501347   0.1010501347  -2.90375  3.51487   12.6673  13.7981  11.6283
   0.1013126684   0.1013126684  -2.89934  3.51542   12.6544  13.7827  11.6166
   0.1015752020   0.1015752020  -2.89494  3.51598   12.6416  13.7673  11.6048
   0.1018377357   0.1018377357  -2.89055  3.51653   12.6287  13.7520  11.5930
   0.1021002694   0.1021002694  -2.88616  3.51708   12.6158  13.7367  11.5811
   0.1023628030   0.1023628030  -2.88179  3.51762   12.6029  13.7216  11.5692
   0.1026253367   0.1026253367  -2.87742  3.51817   12.5899  13.7065  11.5573
   0.1028878704   0.1028878704  -2.87307  3.51872   12.5770  13.6914  11.5453
   0.1031504041   0.1031504041  -2.86872  3.51926   12.5640  13.6765  11.5333
   0.1034129377   0.1034129377  -2.86438  3.51981   12.5511  13.6616  11.5212
   0.1036754714   0.1036754714  -2.86006  3.52035   12.5381  13.6468  11.5092
   0.1039380051   0.1039380051  -2.85576  3.52089   12.5252  13.6321  11.4971
   0.1042005387   0.1042005387  -2.85148  3.52143   12.5123  13.6175  11.4850
   0.1044630724   0.1044630724  -2.84720  3.52196   12.4994  13.6030  11.4729
   0.1047256061   0.1047256061  -2.84293  3.52250   12.4864  13.5885  11.4608
   0.1049881398   0.1049881398  -2.83866  3.52303   12.4735  13.5741  11.4487
   0.1052506734   0.1052506734  -2.83441  3.52357   12.4606  13.5597  11.4365
   0.1055132071   0.1055132071  -2.83016  3.52410   12.4476  13.5454  11.4243
   0.1057757408   0.1057757408  -2.82593  3.52463   12.4347  13.5311  11.4122
   0.1060382744   0.1060382744  -2.82172  3.52516   12.4219  13.5170  11.4001
   0.1063008081   0.1063008081  -2.81751  3.52569   12.4090  13.5028  11.3880
   0.1065633418   0.1065633418  -2.81332  3.52622   12.3962  13.4887  11.3759
   0.1068258754   0.1068258754  -2.80912  3.52674   12.3833  13.4747  11.3638
   0.1070884091   0.1070884091  -2.80494  3.52727   12.3705  13.4606  11.3517
   0.1073509428   0.1073509428  -2.80076  3.52779   12.3577  13.4466  11.3396
   0.1076134765   0.1076134765  -2.79661  3.52831   12.3450  13.4327  11.3276
   0.1078760101   0.1078760101  -2.79246  3.52883   12.3323  13.4188  11.3157
   0.1081385438   0.1081385438  -2.78832  3.52935   12.3196  13.4049  11.3037
   0.1084010775   0.1084010775  -2.78419  3.52987   12.3070  13.3910  11.2918
   0.1086636111   0.1086636111  -2.78006  3.53039   12.2943  13.3771  11.2800
   0.1089261448   0.1089261448  -2.77594  3.53090   12.2817  13.3633  11.2682
   0.1091886785   0.1091886785  -2.77184  3.53142   12.2692  13.3495  11.2564
   0.1094512122   0.1094512122  -2.76774  3.53193   12.2567  13.3358  11.2447
   0.1097137458   0.1097137458  -2.76365  3.53245   12.2442  13.3220  11.2330
   0.1099762795   0.1099762795  -2.75956  3.53296   12.2318  13.3082  11.2214
   0.1102388132   0.1102388132  -2.75549  3.53347   12.2194  13.2945  11.2099
   0.1105013468   0.1105013468  -2.75143  3.53398   12.2071  13.2807  11.1984
   0.1107638805   0.1107638805  -2.74737  3.53449   12.1948  13.2670  11.1869
   0.1110264142   0.1110264142  -2.74331  3.53500   12.1825  13.2533  11.1755
   0.1112889479   0.1112889479  -2.73927  3.53550   12.1703  13.2395  11.1642
   0.1115514815   0.1115514815  -2.73523  3.53601   12.1581  13.2258  11.1528
   0.1118140152   0.1118140152  -2.73119  3.53651   12.1459  13.2121  11.1416
   0.1120765489   0.1120765489  -2.72716  3.53702   12.1338  13.1984  11.1304
   0.1123390825   0.1123390825  -2.72314  3.53752   12.1217  13.1847  11.1192
   0.1126016162   0.1126016162  -2.71913  3.53802   12.1096  13.1709  11.1080
   0.1128641499   0.1128641499  -2.71512  3.53853   12.0975  13.1572  11.0970
   0.1131266836   0.1131266836  -2.71111  3.53903   12.0855  13.1435  11.0859
   0.1133892172   0.1133892172  -2.70711  3.53953   12.0735  13.1297  11.0749
   0.1136517509   0.1136517509  -2.70312  3.54003   12.0616  13.1160  11.0639
   0.1139142846   0.1139142846  -2.69912  3.54052   12.0496  13.1022  11.0530
   0.1141768182   0.1141768182  -2.69513  3.54102   12.0377  13.0884  11.0421
   0.1144393519   0.1144393519  -2.69115  3.54152   12.0258  13.0746  11.0312
   0.1147018856   0.1147018856  -2.68717  3.54201   12.0140  13.0608  11.0204
   0.1149644193   0.1149644193  -2.68319  3.54251   12.0021  13.0470  11.0096
   0.1152269529   0.1152269529  -2.67922  3.54301   11.9903  13.0331  10.9988
   0.1154894866   0.1154894866  -2.67524  3.54350   11.9785  13.0192  10.9881
   0.1157520203   0.1157520203  -2.67127  3.54399   11.9667  13.0053  10.9774
   0.1160145539   0.1160145539  -2.66731  3.54449   11.9549  12.9914  10.9667
   0.1162770876   0.1162770876  -2.66334  3.54498   11.9432  12.9775  10.9561
   0.1165396213   0.1165396213  -2.65938  3.54547   11.9314  12.9635  10.9455
   0.1168021549   0.1168021549  -2.65541  3.54596   11.9197  12.9495  10.9349
   0.1170646886   0.1170646886  -2.65145  3.54645   11.9080  12.9354  10.9243
   0.1173272223   0.1173272223  -2.64749  3.54694   11.8963  12.9214  10.9137
   0.1175897560   0.1175897560  -2.64353  3.54743   11.8846  12.9073  10.9032
   0.1178522896   0.1178522896  -2.63957  3.54792   11.8729  12.8932  10.8927
