# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -1.590   Z = 0.0004040   Y = 0.24756614   Age (Myr) = 12000.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.93080  3.50909   12.7715  13.9372  11.7179
   0.1002593082   0.1002593082  -2.92638  3.50965   12.7587  13.9213  11.7063
   0.1005186163   0.1005186163  -2.92196  3.51021   12.7459  13.9055  11.6947
   0.1007779245   0.1007779245  -2.91756  3.51076   12.7331  13.8897  11.6831
   0.1010372327   0.1010372327  -2.91320  3.51131   12.7203  13.8741  11.6716
   0.1012965409   0.1012965409  -2.90885  3.51186   12.7077  13.8585  11.6601
   0.1015558490   0.1015558490  -2.90452  3.51241   12.6950  13.8430  11.6487
   0.1018151572   0.1018151572  -2.90019  3.51296   12.6823  13.8275  11.6372
   0.1020744654   0.1020744654  -2.89587  3.51350   12.6697  13.8120  11.6257
   0.1023337736   0.1023337736  -2.89156  3.51405   12.6570  13.7967  11.6142
   0.1025930817   0.1025930817  -2.88726  3.51459   12.6443  13.7813  11.6026
   0.1028523899   0.1028523899  -2.88297  3.51513   12.6317  13.7661  11.5911
   0.1031116981   0.1031116981  -2.87868  3.51567   12.6190  13.7509  11.5795
   0.1033710063   0.1033710063  -2.87440  3.51621   12.6064  13.7357  11.5679
   0.1036303144   0.1036303144  -2.87014  3.51675   12.5937  13.7207  11.5563
   0.1038896226   0.1038896226  -2.86589  3.51729   12.5811  13.7057  11.5447
   0.1041489308   0.1041489308  -2.86167  3.51782   12.5685  13.6909  11.5331
   0.1044082390   0.1044082390  -2.85745  3.51835   12.5558  13.6761  11.5215
   0.1046675471   0.1046675471  -2.85324  3.51889   12.5432  13.6614  11.5098
   0.1049268553   0.1049268553  -2.84904  3.51942   12.5306  13.6468  11.4980
   0.1051861635   0.1051861635  -2.84485  3.51995   12.5179  13.6322  11.4863
   0.1054454717   0.1054454717  -2.84066  3.52048   12.5052  13.6178  11.4745
   0.1057047798   0.1057047798  -2.83648  3.52100   12.4925  13.6033  11.4626
   0.1059640880   0.1059640880  -2.83232  3.52153   12.4799  13.5890  11.4508
   0.1062233962   0.1062233962  -2.82818  3.52205   12.4673  13.5748  11.4390
   0.1064827043   0.1064827043  -2.82404  3.52258   12.4546  13.5606  11.4272
   0.1067420125   0.1067420125  -2.81991  3.52310   12.4420  13.5465  11.4153
   0.1070013207   0.1070013207  -2.81579  3.52362   12.4293  13.5324  11.4035
   0.1072606289   0.1072606289  -2.81167  3.52414   12.4167  13.5184  11.3916
   0.1075199370   0.1075199370  -2.80756  3.52466   12.4041  13.5044  11.3797
   0.1077792452   0.1077792452  -2.80347  3.52518   12.3915  13.4905  11.3679
   0.1080385534   0.1080385534  -2.79939  3.52569   12.3789  13.4766  11.3560
   0.1082978616   0.1082978616  -2.79531  3.52621   12.3664  13.4628  11.3442
   0.1085571697   0.1085571697  -2.79124  3.52672   12.3538  13.4490  11.3324
   0.1088164779   0.1088164779  -2.78718  3.52723   12.3413  13.4352  11.3206
   0.1090757861   0.1090757861  -2.78313  3.52775   12.3288  13.4215  11.3088
   0.1093350943   0.1093350943  -2.77909  3.52826   12.3163  13.4078  11.2971
   0.1095944024   0.1095944024  -2.77505  3.52877   12.3039  13.3942  11.2853
   0.1098537106   0.1098537106  -2.77102  3.52928   12.2914  13.3805  11.2736
   0.1101130188   0.1101130188  -2.76700  3.52978   12.2790  13.3669  11.2620
   0.1103723270   0.1103723270  -2.76299  3.53029   12.2667  13.3533  11.2504
   0.1106316351   0.1106316351  -2.75899  3.53080   12.2543  13.3397  11.2388
   0.1108909433   0.1108909433  -2.75498  3.53130   12.2420  13.3261  11.2272
   0.1111502515   0.1111502515  -2.75099  3.53181   12.2297  13.3126  11.2157
   0.1114095597   0.1114095597  -2.74701  3.53231   12.2175  13.2990  11.2043
   0.1116688678   0.1116688678  -2.74303  3.53281   12.2053  13.2855  11.1929
   0.1119281760   0.1119281760  -2.73905  3.53332   12.1931  13.2719  11.1815
   0.1121874842   0.1121874842  -2.73508  3.53382   12.1809  13.2584  11.1702
   0.1124467923   0.1124467923  -2.73112  3.53432   12.1688  13.2448  11.1589
   0.1127061005   0.1127061005  -2.72716  3.53482   12.1567  13.2313  11.1477
   0.1129654087   0.1129654087  -2.72321  3.53532   12.1446  13.2178  11.1365
   0.1132247169   0.1132247169  -2.71926  3.53581   12.1326  13.2042  11.1254
   0.1134840250   0.1134840250  -2.71531  3.53631   12.1206  13.1907  11.1142
   0.1137433332   0.1137433332  -2.71137  3.53681   12.1086  13.1771  11.1032
   0.1140026414   0.1140026414  -2.70744  3.53730   12.0966  13.1635  11.0921
   0.1142619496   0.1142619496  -2.70350  3.53780   12.0847  13.1500  11.0811
   0.1145212577   0.1145212577  -2.69957  3.53829   12.0728  13.1364  11.0701
   0.1147805659   0.1147805659  -2.69565  3.53879   12.0609  13.1228  11.0592
   0.1150398741   0.1150398741  -2.69172  3.53928   12.0490  13.1092  11.0483
   0.1152991823   0.1152991823  -2.68780  3.53978   12.0371  13.0955  11.0374
   0.1155584904   0.1155584904  -2.68388  3.54027   12.0253  13.0819  11.0266
   0.1158177986   0.1158177986  -2.67997  3.54076   12.0135  13.0682  11.0158
   0.1160771068   0.1160771068  -2.67605  3.54125   12.0017  13.0545  11.0050
   0.1163364150   0.1163364150  -2.67214  3.54174   11.9899  13.0408  10.9942
   0.1165957231   0.1165957231  -2.66823  3.54223   11.9781  13.0270  10.9835
   0.1168550313   0.1168550313  -2.66431  3.54272   11.9664  13.0132  10.9728
   0.1171143395   0.1171143395  -2.66040  3.54321   11.9546  12.9994  10.9621
   0.1173736477   0.1173736477  -2.65649  3.54370   11.9429  12.9856  10.9514
   0.1176329558   0.1176329558  -2.65258  3.54419   11.9312  12.9717  10.9408
   0.1178922640   0.1178922640  -2.64867  3.54468   11.9194  12.9578  10.9302
   0.1181515722   0.1181515722  -2.64476  3.54517   11.9077  12.9439  10.9196
   0.1184108803   0.1184108803  -2.64085  3.54566   11.8960  12.9299  10.9090
   0.1186701885   0.1186701885  -2.63694  3.54615   11.8844  12.9159  10.8985
   0.1189294967   0.1189294967  -2.63303  3.54663   11.8727  12.9019  10.8879
   0.1191888049   0.1191888049  -2.62912  3.54712   11.8610  12.8878  10.8774
   0.1194481130   0.1194481130  -2.62521  3.54761   11.8493  12.8738  10.8669
   0.1197074212   0.1197074212  -2.62129  3.54809   11.8377  12.8597  10.8564
   0.1199667294   0.1199667294  -2.61738  3.54858   11.8260  12.8455  10.8459
   0.1202260376   0.1202260376  -2.61466  3.54884   11.8182  12.8364  10.8387
   0.1204853457   0.1204853457  -2.61213  3.54907   11.8110  12.8279  10.8321
   0.1207446539   0.1207446539  -2.60961  3.54931   11.8038  12.8195  10.8255
   0.1210039621   0.1210039621  -2.60708  3.54954   11.7966  12.8111  10.8188
   0.1212632703   0.1212632703  -2.60457  3.54977   11.7894  12.8027  10.8122
   0.1215225784   0.1215225784  -2.60206  3.55000   11.7822  12.7943  10.8056
   0.1217818866   0.1217818866  -2.59955  3.55023   11.7751  12.7859  10.7991
   0.1220411948   0.1220411948  -2.59704  3.55046   11.7679  12.7776  10.7925
   0.1223005030   0.1223005030  -2.59454  3.55069   11.7608  12.7692  10.7859
   0.1225598111   0.1225598111  -2.59204  3.55092   11.7537  12.7609  10.7794
   0.1228191193   0.1228191193  -2.58955  3.55115   11.7466  12.7525  10.7729
   0.1230784275   0.1230784275  -2.58707  3.55138   11.7395  12.7442  10.7664
   0.1233377357   0.1233377357  -2.58458  3.55161   11.7324  12.7359  10.7598
   0.1235970438   0.1235970438  -2.58210  3.55183   11.7253  12.7276  10.7534
   0.1238563520   0.1238563520  -2.57963  3.55206   11.7183  12.7193  10.7469
   0.1241156602   0.1241156602  -2.57716  3.55229   11.7112  12.7110  10.7404
   0.1243749683   0.1243749683  -2.57469  3.55251   11.7042  12.7027  10.7340
   0.1246342765   0.1246342765  -2.57223  3.55274   11.6972  12.6945  10.7275
   0.1248935847   0.1248935847  -2.56977  3.55297   11.6902  12.6862  10.7211
   0.1251528929   0.1251528929  -2.56731  3.55319   11.6832  12.6780  10.7146
   0.1254122010   0.1254122010  -2.56486  3.55342   11.6762  12.6698  10.7082
   0.1256715092   0.1256715092  -2.56241  3.55364   11.6692  12.6615  10.7018
   0.1283614209   0.1283614209  -2.53697  3.55596   11.5966  12.5762  10.6352
   0.1310513325   0.1310513325  -2.51202  3.55824   11.5253  12.4925  10.5698
   0.1337412441   0.1337412441  -2.48757  3.56046   11.4554  12.4105  10.5055
   0.1364311558   0.1364311558  -2.46359  3.56264   11.3867  12.3302  10.4423
   0.1391210674   0.1391210674  -2.44007  3.56478   11.3192  12.2515  10.3803
   0.1418109790   0.1418109790  -2.41700  3.56688   11.2530  12.1744  10.3195
   0.1445008907   0.1445008907  -2.39362  3.56897   11.1861  12.0967  10.2579
   0.1471908023   0.1471908023  -2.37062  3.57103   11.1203  12.0205  10.1973
   0.1498807139   0.1498807139  -2.34799  3.57305   11.0556  11.9457  10.1377
   0.1525706256   0.1525706256  -2.32988  3.57426   11.0055  11.8897  10.0906
   0.1552605372   0.1552605372  -2.31224  3.57541   10.9568  11.8353  10.0449
   0.1579504489   0.1579504489  -2.29487  3.57654   10.9089  11.7819   9.9998
   0.1606403605   0.1606403605  -2.27775  3.57765   10.8617  11.7294   9.9554
   0.1633302721   0.1633302721  -2.26089  3.57874   10.8152  11.6778   9.9117
   0.1660201838   0.1660201838  -2.24426  3.57982   10.7694  11.6270   9.8686
   0.1687100954   0.1687100954  -2.22788  3.58088   10.7243  11.5770   9.8262
   0.1714000070   0.1714000070  -2.21173  3.58192   10.6799  11.5278   9.7843
   0.1740899187   0.1740899187  -2.19580  3.58294   10.6361  11.4794   9.7430
   0.1767798303   0.1767798303  -2.18009  3.58395   10.5929  11.4317   9.7023
   0.1794697419   0.1794697419  -2.16459  3.58495   10.5502  11.3846   9.6622
   0.1821596536   0.1821596536  -2.14995  3.58579   10.5103  11.3409   9.6244
   0.1848495652   0.1848495652  -2.13570  3.58660   10.4716  11.2986   9.5876
   0.1875394769   0.1875394769  -2.12164  3.58739   10.4333  11.2568   9.5513
   0.1902293885   0.1902293885  -2.10777  3.58816   10.3956  11.2156   9.5156
   0.1929193001   0.1929193001  -2.09408  3.58893   10.3583  11.1749   9.4802
   0.1956092118   0.1956092118  -2.08057  3.58968   10.3216  11.1347   9.4454
   0.1982991234   0.1982991234  -2.06724  3.59043   10.2853  11.0950   9.4109
   0.2009890350   0.2009890350  -2.05433  3.59113   10.2502  11.0567   9.3777
   0.2036789467   0.2036789467  -2.04205  3.59176   10.2169  11.0206   9.3460
   0.2063688583   0.2063688583  -2.02992  3.59238   10.1841  10.9849   9.3148
   0.2090587699   0.2090587699  -2.01795  3.59299   10.1517  10.9496   9.2839
   0.2117486816   0.2117486816  -2.00613  3.59359   10.1197  10.9147   9.2535
   0.2144385932   0.2144385932  -1.99446  3.59419   10.0881  10.8803   9.2234
   0.2171285049   0.2171285049  -1.98292  3.59477   10.0568  10.8463   9.1937
   0.2198184165   0.2198184165  -1.97153  3.59535   10.0260  10.8128   9.1643
   0.2225083281   0.2225083281  -1.96027  3.59593    9.9955  10.7796   9.1354
   0.2251982398   0.2251982398  -1.94915  3.59649    9.9654  10.7469   9.1067
   0.2278881514   0.2278881514  -1.93811  3.59705    9.9356  10.7144   9.0783
   0.2305780630   0.2305780630  -1.92720  3.59761    9.9061  10.6823   9.0502
   0.2332679747   0.2332679747  -1.91642  3.59815    9.8769  10.6507   9.0225
