# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -0.100   Z = 0.0120138   Y = 0.26350000   Age (Myr) = 14500.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -3.12171  3.43384   14.2959  16.8105  12.8970
   0.1003373459   0.1003373459  -3.11617  3.43464   14.2737  16.7738  12.8769
   0.1006746917   0.1006746917  -3.11064  3.43544   14.2514  16.7367  12.8568
   0.1010120376   0.1010120376  -3.10513  3.43624   14.2290  16.6993  12.8366
   0.1013493835   0.1013493835  -3.09963  3.43703   14.2066  16.6617  12.8165
   0.1016867293   0.1016867293  -3.09415  3.43782   14.1842  16.6238  12.7964
   0.1020240752   0.1020240752  -3.08869  3.43861   14.1618  16.5857  12.7763
   0.1023614211   0.1023614211  -3.08326  3.43940   14.1394  16.5476  12.7563
   0.1026987669   0.1026987669  -3.07786  3.44018   14.1171  16.5096  12.7364
   0.1030361128   0.1030361128  -3.07248  3.44096   14.0948  16.4715  12.7165
   0.1033734586   0.1033734586  -3.06712  3.44173   14.0725  16.4333  12.6966
   0.1037108045   0.1037108045  -3.06176  3.44251   14.0502  16.3952  12.6768
   0.1040481504   0.1040481504  -3.05643  3.44328   14.0280  16.3571  12.6571
   0.1043854962   0.1043854962  -3.05110  3.44405   14.0058  16.3192  12.6374
   0.1047228421   0.1047228421  -3.04579  3.44482   13.9837  16.2813  12.6177
   0.1050601880   0.1050601880  -3.04050  3.44558   13.9616  16.2437  12.5982
   0.1053975338   0.1053975338  -3.03522  3.44634   13.9396  16.2063  12.5786
   0.1057348797   0.1057348797  -3.02995  3.44711   13.9177  16.1691  12.5592
   0.1060722256   0.1060722256  -3.02472  3.44786   13.8959  16.1324  12.5400
   0.1064095714   0.1064095714  -3.01951  3.44862   13.8743  16.0960  12.5208
   0.1067469173   0.1067469173  -3.01431  3.44937   13.8527  16.0599  12.5017
   0.1070842632   0.1070842632  -3.00912  3.45012   13.8312  16.0240  12.4827
   0.1074216090   0.1074216090  -3.00394  3.45087   13.8098  15.9885  12.4637
   0.1077589549   0.1077589549  -2.99878  3.45162   13.7885  15.9531  12.4449
   0.1080963007   0.1080963007  -2.99362  3.45236   13.7672  15.9180  12.4261
   0.1084336466   0.1084336466  -2.98849  3.45310   13.7460  15.8833  12.4073
   0.1087709925   0.1087709925  -2.98338  3.45384   13.7250  15.8488  12.3888
   0.1091083383   0.1091083383  -2.97829  3.45458   13.7040  15.8145  12.3702
   0.1094456842   0.1094456842  -2.97320  3.45532   13.6831  15.7805  12.3518
   0.1097830301   0.1097830301  -2.96812  3.45605   13.6622  15.7466  12.3334
   0.1101203759   0.1101203759  -2.96306  3.45679   13.6414  15.7130  12.3150
   0.1104577218   0.1104577218  -2.95801  3.45752   13.6207  15.6796  12.2967
   0.1107950677   0.1107950677  -2.95298  3.45824   13.6000  15.6464  12.2786
   0.1111324135   0.1111324135  -2.94797  3.45897   13.5795  15.6134  12.2604
   0.1114697594   0.1114697594  -2.94296  3.45970   13.5589  15.5805  12.2424
   0.1118071053   0.1118071053  -2.93796  3.46042   13.5385  15.5479  12.2244
   0.1121444511   0.1121444511  -2.93297  3.46114   13.5181  15.5154  12.2064
