# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -1.790   Z = 0.0002552   Y = 0.24724580   Age (Myr) = 14000.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.91224  3.51633   12.6665  13.7863  11.6328
   0.1002321964   0.1002321964  -2.90830  3.51682   12.6551  13.7728  11.6223
   0.1004643928   0.1004643928  -2.90437  3.51730   12.6436  13.7593  11.6117
   0.1006965892   0.1006965892  -2.90044  3.51779   12.6321  13.7458  11.6011
   0.1009287856   0.1009287856  -2.89653  3.51828   12.6206  13.7324  11.5904
   0.1011609821   0.1011609821  -2.89262  3.51876   12.6091  13.7191  11.5798
   0.1013931785   0.1013931785  -2.88871  3.51925   12.5975  13.7058  11.5690
   0.1016253749   0.1016253749  -2.88482  3.51973   12.5860  13.6926  11.5583
   0.1018575713   0.1018575713  -2.88093  3.52021   12.5744  13.6794  11.5475
   0.1020897677   0.1020897677  -2.87705  3.52069   12.5628  13.6663  11.5367
   0.1023219641   0.1023219641  -2.87318  3.52117   12.5512  13.6532  11.5258
   0.1025541605   0.1025541605  -2.86934  3.52165   12.5397  13.6403  11.5150
   0.1027863569   0.1027863569  -2.86551  3.52213   12.5282  13.6273  11.5042
   0.1030185533   0.1030185533  -2.86168  3.52260   12.5166  13.6145  11.4934
   0.1032507498   0.1032507498  -2.85786  3.52308   12.5051  13.6016  11.4825
   0.1034829462   0.1034829462  -2.85404  3.52355   12.4935  13.5888  11.4717
   0.1037151426   0.1037151426  -2.85023  3.52403   12.4820  13.5760  11.4608
   0.1039473390   0.1039473390  -2.84643  3.52450   12.4704  13.5633  11.4499
   0.1041795354   0.1041795354  -2.84263  3.52497   12.4589  13.5506  11.4390
   0.1044117318   0.1044117318  -2.83886  3.52544   12.4474  13.5379  11.4282
   0.1046439282   0.1046439282  -2.83509  3.52591   12.4359  13.5254  11.4174
   0.1048761246   0.1048761246  -2.83133  3.52637   12.4245  13.5128  11.4066
   0.1051083210   0.1051083210  -2.82758  3.52684   12.4130  13.5003  11.3958
   0.1053405175   0.1053405175  -2.82383  3.52731   12.4016  13.4878  11.3850
   0.1055727139   0.1055727139  -2.82009  3.52777   12.3901  13.4753  11.3742
   0.1058049103   0.1058049103  -2.81635  3.52823   12.3787  13.4628  11.3634
   0.1060371067   0.1060371067  -2.81264  3.52870   12.3674  13.4504  11.3527
   0.1062693031   0.1062693031  -2.80893  3.52916   12.3561  13.4380  11.3421
   0.1065014995   0.1065014995  -2.80523  3.52962   12.3448  13.4257  11.3314
   0.1067336959   0.1067336959  -2.80153  3.53008   12.3335  13.4133  11.3208
   0.1069658923   0.1069658923  -2.79783  3.53054   12.3222  13.4010  11.3102
   0.1071980887   0.1071980887  -2.79414  3.53100   12.3110  13.3886  11.2997
