# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -1.790   Z = 0.0002552   Y = 0.24724580   Age (Myr) = 12500.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.91197  3.51635   12.6658  13.7855  11.6321
   0.1002465948   0.1002465948  -2.90776  3.51687   12.6536  13.7710  11.6209
   0.1004931897   0.1004931897  -2.90359  3.51738   12.6414  13.7567  11.6096
   0.1007397845   0.1007397845  -2.89943  3.51790   12.6292  13.7425  11.5984
   0.1009863793   0.1009863793  -2.89527  3.51842   12.6170  13.7283  11.5871
   0.1012329742   0.1012329742  -2.89113  3.51893   12.6047  13.7141  11.5757
   0.1014795690   0.1014795690  -2.88699  3.51945   12.5925  13.7001  11.5643
   0.1017261638   0.1017261638  -2.88286  3.51996   12.5802  13.6860  11.5529
   0.1019727586   0.1019727586  -2.87873  3.52047   12.5679  13.6721  11.5414
   0.1022193535   0.1022193535  -2.87462  3.52098   12.5556  13.6582  11.5299
   0.1024659483   0.1024659483  -2.87051  3.52149   12.5433  13.6443  11.5184
   0.1027125431   0.1027125431  -2.86641  3.52200   12.5310  13.6305  11.5068
   0.1029591380   0.1029591380  -2.86232  3.52251   12.5186  13.6167  11.4953
   0.1032057328   0.1032057328  -2.85826  3.52301   12.5064  13.6031  11.4837
   0.1034523276   0.1034523276  -2.85421  3.52351   12.4941  13.5895  11.4722
   0.1036989225   0.1036989225  -2.85017  3.52402   12.4819  13.5759  11.4607
   0.1039455173   0.1039455173  -2.84613  3.52452   12.4696  13.5624  11.4491
   0.1041921121   0.1041921121  -2.84210  3.52502   12.4574  13.5489  11.4376
   0.1044387069   0.1044387069  -2.83808  3.52552   12.4451  13.5355  11.4260
   0.1046853018   0.1046853018  -2.83406  3.52602   12.4329  13.5221  11.4145
   0.1049318966   0.1049318966  -2.83006  3.52651   12.4207  13.5087  11.4030
   0.1051784914   0.1051784914  -2.82606  3.52701   12.4085  13.4953  11.3915
   0.1054250863   0.1054250863  -2.82209  3.52750   12.3964  13.4821  11.3800
   0.1056716811   0.1056716811  -2.81812  3.52800   12.3842  13.4688  11.3686
   0.1059182759   0.1059182759  -2.81416  3.52849   12.3722  13.4556  11.3572
   0.1061648708   0.1061648708  -2.81021  3.52898   12.3601  13.4424  11.3458
   0.1064114656   0.1064114656  -2.80626  3.52947   12.3480  13.4293  11.3345
   0.1066580604   0.1066580604  -2.80232  3.52996   12.3360  13.4161  11.3232
   0.1069046552   0.1069046552  -2.79839  3.53045   12.3241  13.4030  11.3119
   0.1071512501   0.1071512501  -2.79448  3.53093   12.3122  13.3899  11.3007
   0.1073978449   0.1073978449  -2.79057  3.53142   12.3003  13.3769  11.2896
   0.1076444397   0.1076444397  -2.78667  3.53190   12.2884  13.3638  11.2785
   0.1078910346   0.1078910346  -2.78277  3.53239   12.2766  13.3508  11.2674
   0.1081376294   0.1081376294  -2.77888  3.53287   12.2649  13.3378  11.2564
   0.1083842242   0.1083842242  -2.77501  3.53335   12.2532  13.3248  11.2455
   0.1086308191   0.1086308191  -2.77114  3.53383   12.2415  13.3118  11.2346
   0.1088774139   0.1088774139  -2.76728  3.53431   12.2298  13.2989  11.2237
   0.1091240087   0.1091240087  -2.76342  3.53479   12.2182  13.2859  11.2129
   0.1093706035   0.1093706035  -2.75957  3.53527   12.2067  13.2730  11.2022
   0.1096171984   0.1096171984  -2.75574  3.53574   12.1952  13.2600  11.1915
   0.1098637932   0.1098637932  -2.75190  3.53622   12.1837  13.2471  11.1808
   0.1101103880   0.1101103880  -2.74807  3.53669   12.1722  13.2342  11.1702
   0.1103569829   0.1103569829  -2.74425  3.53717   12.1608  13.2213  11.1596
   0.1106035777   0.1106035777  -2.74044  3.53764   12.1494  13.2084  11.1491
   0.1108501725   0.1108501725  -2.73663  3.53811   12.1380  13.1955  11.1386
   0.1110967674   0.1110967674  -2.73282  3.53858   12.1267  13.1826  11.1282
   0.1113433622   0.1113433622  -2.72903  3.53905   12.1154  13.1697  11.1178
   0.1115899570   0.1115899570  -2.72523  3.53952   12.1042  13.1568  11.1074
   0.1118365519   0.1118365519  -2.72144  3.53999   12.0929  13.1439  11.0971
   0.1120831467   0.1120831467  -2.71766  3.54046   12.0817  13.1310  11.0868
   0.1123297415   0.1123297415  -2.71389  3.54093   12.0705  13.1181  11.0766
   0.1125763363   0.1125763363  -2.71011  3.54140   12.0594  13.1051  11.0664
   0.1128229312   0.1128229312  -2.70635  3.54186   12.0483  13.0922  11.0562
   0.1130695260   0.1130695260  -2.70258  3.54233   12.0372  13.0793  11.0461
   0.1133161208   0.1133161208  -2.69882  3.54279   12.0261  13.0663  11.0360
   0.1135627157   0.1135627157  -2.69506  3.54325   12.0150  13.0533  11.0259
