# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -1.900   Z = 0.0001980   Y = 0.24724580   Age (Myr) = 14000.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.90148  3.52047   12.6063  13.7056  11.5821
   0.1002184823   0.1002184823  -2.89778  3.52092   12.5953  13.6931  11.5718
   0.1004369646   0.1004369646  -2.89408  3.52137   12.5842  13.6807  11.5614
   0.1006554469   0.1006554469  -2.89038  3.52183   12.5731  13.6683  11.5511
   0.1008739291   0.1008739291  -2.88670  3.52228   12.5621  13.6559  11.5407
   0.1010924114   0.1010924114  -2.88302  3.52273   12.5510  13.6436  11.5302
   0.1013108937   0.1013108937  -2.87934  3.52318   12.5399  13.6312  11.5198
   0.1015293760   0.1015293760  -2.87567  3.52363   12.5288  13.6190  11.5094
   0.1017478583   0.1017478583  -2.87201  3.52408   12.5177  13.6067  11.4989
   0.1019663406   0.1019663406  -2.86836  3.52453   12.5066  13.5945  11.4885
   0.1021848229   0.1021848229  -2.86474  3.52497   12.4956  13.5823  11.4781
   0.1024033051   0.1024033051  -2.86112  3.52541   12.4845  13.5702  11.4677
   0.1026217874   0.1026217874  -2.85751  3.52586   12.4735  13.5582  11.4573
   0.1028402697   0.1028402697  -2.85390  3.52630   12.4625  13.5461  11.4469
   0.1030587520   0.1030587520  -2.85030  3.52674   12.4515  13.5341  11.4366
   0.1032772343   0.1032772343  -2.84671  3.52718   12.4405  13.5220  11.4262
   0.1034957166   0.1034957166  -2.84312  3.52762   12.4295  13.5100  11.4159
   0.1037141989   0.1037141989  -2.83953  3.52806   12.4186  13.4981  11.4055
   0.1039326811   0.1039326811  -2.83595  3.52850   12.4076  13.4861  11.3952
   0.1041511634   0.1041511634  -2.83240  3.52894   12.3968  13.4743  11.3850
   0.1043696457   0.1043696457  -2.82886  3.52938   12.3860  13.4624  11.3748
   0.1045881280   0.1045881280  -2.82531  3.52981   12.3751  13.4506  11.3646
   0.1048066103   0.1048066103  -2.82178  3.53024   12.3643  13.4388  11.3545
   0.1050250926   0.1050250926  -2.81824  3.53068   12.3536  13.4270  11.3444
   0.1052435749   0.1052435749  -2.81472  3.53111   12.3429  13.4152  11.3343
   0.1054620571   0.1054620571  -2.81119  3.53154   12.3321  13.4034  11.3243
   0.1056805394   0.1056805394  -2.80769  3.53197   12.3215  13.3917  11.3143
   0.1058990217   0.1058990217  -2.80419  3.53240   12.3109  13.3800  11.3044
   0.1061175040   0.1061175040  -2.80070  3.53283   12.3004  13.3684  11.2946
   0.1063359863   0.1063359863  -2.79721  3.53326   12.2898  13.3567  11.2847
   0.1065544686   0.1065544686  -2.79373  3.53369   12.2793  13.3450  11.2749
   0.1067729509   0.1067729509  -2.79025  3.53412   12.2689  13.3334  11.2652
   0.1069914331   0.1069914331  -2.78679  3.53454   12.2585  13.3218  11.2555
   0.1072099154   0.1072099154  -2.78333  3.53497   12.2481  13.3102  11.2459
   0.1074283977   0.1074283977  -2.77988  3.53539   12.2378  13.2987  11.2363
   0.1076468800   0.1076468800  -2.77643  3.53581   12.2275  13.2871  11.2267
   0.1078653623   0.1078653623  -2.77298  3.53624   12.2172  13.2755  11.2172
   0.1080838446   0.1080838446  -2.76955  3.53666   12.2069  13.2640  11.2077
   0.1083023268   0.1083023268  -2.76612  3.53708   12.1967  13.2525  11.1983
   0.1085208091   0.1085208091  -2.76270  3.53750   12.1866  13.2410  11.1889
   0.1087392914   0.1087392914  -2.75928  3.53792   12.1764  13.2295  11.1795
   0.1089577737   0.1089577737  -2.75587  3.53834   12.1663  13.2180  11.1702
   0.1091762560   0.1091762560  -2.75246  3.53876   12.1562  13.2065  11.1609
   0.1093947383   0.1093947383  -2.74906  3.53917   12.1462  13.1951  11.1516
   0.1096132206   0.1096132206  -2.74566  3.53959   12.1361  13.1836  11.1424
   0.1098317028   0.1098317028  -2.74227  3.54001   12.1262  13.1721  11.1333
   0.1100501851   0.1100501851  -2.73888  3.54042   12.1162  13.1607  11.1241
   0.1102686674   0.1102686674  -2.73550  3.54084   12.1063  13.1492  11.1150
   0.1104871497   0.1104871497  -2.73212  3.54125   12.0963  13.1377  11.1059
   0.1107056320   0.1107056320  -2.72875  3.54166   12.0865  13.1263  11.0969
   0.1109241143   0.1109241143  -2.72538  3.54208   12.0766  13.1148  11.0879
   0.1111425966   0.1111425966  -2.72201  3.54249   12.0668  13.1034  11.0789
   0.1113610788   0.1113610788  -2.71865  3.54290   12.0570  13.0919  11.0700
   0.1115795611   0.1115795611  -2.71529  3.54331   12.0472  13.0805  11.0611
   0.1117980434   0.1117980434  -2.71194  3.54372   12.0374  13.0690  11.0522
   0.1120165257   0.1120165257  -2.70858  3.54413   12.0277  13.0575  11.0434
   0.1122350080   0.1122350080  -2.70524  3.54454   12.0179  13.0460  11.0345
   0.1124534903   0.1124534903  -2.70189  3.54495   12.0082  13.0345  11.0258
   0.1126719726   0.1126719726  -2.69855  3.54535   11.9986  13.0230  11.0170
   0.1128904548   0.1128904548  -2.69521  3.54576   11.9889  13.0115  11.0082
