# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -1.650   Z = 0.0003519   Y = 0.24739747   Age (Myr) = 12000.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.92528  3.51122   12.7399  13.8910  11.6923
   0.1002611952   0.1002611952  -2.92082  3.51178   12.7270  13.8752  11.6806
   0.1005223904   0.1005223904  -2.91637  3.51233   12.7141  13.8594  11.6689
   0.1007835856   0.1007835856  -2.91193  3.51289   12.7012  13.8437  11.6572
   0.1010447808   0.1010447808  -2.90754  3.51344   12.6884  13.8281  11.6456
   0.1013059760   0.1013059760  -2.90315  3.51400   12.6756  13.8126  11.6340
   0.1015671712   0.1015671712  -2.89878  3.51455   12.6629  13.7972  11.6223
   0.1018283663   0.1018283663  -2.89441  3.51510   12.6501  13.7818  11.6107
   0.1020895615   0.1020895615  -2.89006  3.51564   12.6373  13.7664  11.5990
   0.1023507567   0.1023507567  -2.88571  3.51619   12.6245  13.7512  11.5873
   0.1026119519   0.1026119519  -2.88137  3.51674   12.6117  13.7360  11.5755
   0.1028731471   0.1028731471  -2.87704  3.51728   12.5989  13.7208  11.5637
   0.1031343423   0.1031343423  -2.87272  3.51782   12.5861  13.7058  11.5519
   0.1033955375   0.1033955375  -2.86840  3.51837   12.5732  13.6908  11.5401
   0.1036567327   0.1036567327  -2.86410  3.51891   12.5604  13.6759  11.5282
   0.1039179279   0.1039179279  -2.85983  3.51944   12.5476  13.6611  11.5163
   0.1041791231   0.1041791231  -2.85557  3.51998   12.5348  13.6465  11.5044
   0.1044403183   0.1044403183  -2.85132  3.52052   12.5220  13.6318  11.4925
   0.1047015135   0.1047015135  -2.84707  3.52105   12.5092  13.6173  11.4805
   0.1049627087   0.1049627087  -2.84284  3.52158   12.4964  13.6028  11.4685
   0.1052239038   0.1052239038  -2.83861  3.52212   12.4835  13.5884  11.4565
   0.1054850990   0.1054850990  -2.83438  3.52265   12.4707  13.5740  11.4445
   0.1057462942   0.1057462942  -2.83017  3.52318   12.4579  13.5597  11.4324
   0.1060074894   0.1060074894  -2.82598  3.52370   12.4451  13.5455  11.4204
   0.1062686846   0.1062686846  -2.82180  3.52423   12.4323  13.5313  11.4084
   0.1065298798   0.1065298798  -2.81763  3.52476   12.4195  13.5172  11.3964
   0.1067910750   0.1067910750  -2.81346  3.52528   12.4068  13.5032  11.3844
   0.1070522702   0.1070522702  -2.80931  3.52580   12.3940  13.4891  11.3724
   0.1073134654   0.1073134654  -2.80515  3.52633   12.3813  13.4751  11.3604
   0.1075746606   0.1075746606  -2.80102  3.52685   12.3686  13.4612  11.3484
   0.1078358558   0.1078358558  -2.79690  3.52736   12.3559  13.4473  11.3365
   0.1080970510   0.1080970510  -2.79278  3.52788   12.3433  13.4334  11.3246
   0.1083582462   0.1083582462  -2.78867  3.52840   12.3307  13.4196  11.3127
   0.1086194413   0.1086194413  -2.78456  3.52892   12.3180  13.4058  11.3008
   0.1088806365   0.1088806365  -2.78047  3.52943   12.3055  13.3920  11.2890
   0.1091418317   0.1091418317  -2.77639  3.52994   12.2929  13.3783  11.2772
   0.1094030269   0.1094030269  -2.77232  3.53046   12.2804  13.3645  11.2655
   0.1096642221   0.1096642221  -2.76825  3.53097   12.2680  13.3508  11.2538
   0.1099254173   0.1099254173  -2.76418  3.53148   12.2555  13.3371  11.2421
   0.1101866125   0.1101866125  -2.76013  3.53199   12.2431  13.3234  11.2305
   0.1104478077   0.1104478077  -2.75609  3.53250   12.2308  13.3097  11.2189
   0.1107090029   0.1107090029  -2.75205  3.53301   12.2185  13.2961  11.2074
   0.1109701981   0.1109701981  -2.74802  3.53351   12.2062  13.2824  11.1960
