# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -0.730   Z = 0.0029024   Y = 0.25105316   Age (Myr) = 11500.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -3.01172  3.47757   13.3590  14.9059  12.1626
   0.1003235367   0.1003235367  -3.00632  3.47829   13.3395  14.8779  12.1456
   0.1006470735   0.1006470735  -3.00094  3.47901   13.3201  14.8501  12.1287
   0.1009706102   0.1009706102  -2.99557  3.47973   13.3008  14.8224  12.1118
   0.1012941470   0.1012941470  -2.99021  3.48044   13.2815  14.7950  12.0951
   0.1016176837   0.1016176837  -2.98487  3.48115   13.2623  14.7677  12.0784
   0.1019412204   0.1019412204  -2.97955  3.48187   13.2433  14.7407  12.0617
   0.1022647572   0.1022647572  -2.97424  3.48257   13.2242  14.7138  12.0452
   0.1025882939   0.1025882939  -2.96894  3.48328   13.2053  14.6871  12.0287
   0.1029118306   0.1029118306  -2.96369  3.48398   13.1865  14.6607  12.0123
   0.1032353674   0.1032353674  -2.95846  3.48468   13.1679  14.6345  11.9960
   0.1035589041   0.1035589041  -2.95325  3.48538   13.1493  14.6086  11.9798
   0.1038824409   0.1038824409  -2.94805  3.48607   13.1309  14.5827  11.9637
   0.1042059776   0.1042059776  -2.94286  3.48677   13.1124  14.5571  11.9476
   0.1045295143   0.1045295143  -2.93768  3.48746   13.0941  14.5316  11.9316
   0.1048530511   0.1048530511  -2.93252  3.48815   13.0758  14.5063  11.9156
   0.1051765878   0.1051765878  -2.92737  3.48884   13.0576  14.4811  11.8997
   0.1055001245   0.1055001245  -2.92223  3.48952   13.0394  14.4561  11.8838
   0.1058236613   0.1058236613  -2.91710  3.49021   13.0213  14.4312  11.8680
   0.1061471980   0.1061471980  -2.91201  3.49089   13.0034  14.4066  11.8523
   0.1064707348   0.1064707348  -2.90694  3.49156   12.9855  14.3822  11.8367
   0.1067942715   0.1067942715  -2.90188  3.49224   12.9677  14.3579  11.8212
   0.1071178082   0.1071178082  -2.89684  3.49291   12.9500  14.3338  11.8056
   0.1074413450   0.1074413450  -2.89180  3.49359   12.9324  14.3098  11.7902
   0.1077648817   0.1077648817  -2.88678  3.49426   12.9148  14.2859  11.7747
   0.1080884184   0.1080884184  -2.88176  3.49493   12.8972  14.2622  11.7593
   0.1084119552   0.1084119552  -2.87676  3.49559   12.8798  14.2386  11.7440
   0.1087354919   0.1087354919  -2.87179  3.49626   12.8624  14.2152  11.7288
   0.1090590287   0.1090590287  -2.86683  3.49692   12.8451  14.1920  11.7136
   0.1093825654   0.1093825654  -2.86188  3.49758   12.8279  14.1689  11.6985
   0.1097061021   0.1097061021  -2.85693  3.49824   12.8107  14.1459  11.6834
   0.1100296389   0.1100296389  -2.85200  3.49890   12.7936  14.1230  11.6684
   0.1103531756   0.1103531756  -2.84708  3.49956   12.7766  14.1003  11.6535
   0.1106767124   0.1106767124  -2.84218  3.50021   12.7597  14.0777  11.6386
   0.1110002491   0.1110002491  -2.83729  3.50087   12.7428  14.0552  11.6238
   0.1113237858   0.1113237858  -2.83241  3.50152   12.7260  14.0328  11.6090
   0.1116473226   0.1116473226  -2.82753  3.50217   12.7092  14.0106  11.5942
   0.1119708593   0.1119708593  -2.82267  3.50282   12.6926  13.9885  11.5796
   0.1122943960   0.1122943960  -2.81782  3.50347   12.6760  13.9664  11.5650
   0.1126179328   0.1126179328  -2.81298  3.50412   12.6594  13.9445  11.5504
   0.1129414695   0.1129414695  -2.80815  3.50476   12.6429  13.9227  11.5359
   0.1132650063   0.1132650063  -2.80332  3.50541   12.6265  13.9010  11.5215
   0.1135885430   0.1135885430  -2.79851  3.50605   12.6101  13.8794  11.5072
   0.1139120797   0.1139120797  -2.79371  3.50670   12.5938  13.8579  11.4928
   0.1142356165   0.1142356165  -2.78891  3.50734   12.5776  13.8364  11.4785
   0.1145591532   0.1145591532  -2.78412  3.50798   12.5614  13.8151  11.4643
   0.1148826899   0.1148826899  -2.77934  3.50862   12.5452  13.7938  11.4501
   0.1152062267   0.1152062267  -2.77456  3.50926   12.5291  13.7726  11.4359
   0.1155297634   0.1155297634  -2.76979  3.50990   12.5129  13.7515  11.4217
   0.1158533002   0.1158533002  -2.76502  3.51054   12.4969  13.7305  11.4076
   0.1161768369   0.1161768369  -2.76026  3.51118   12.4808  13.7095  11.3934
   0.1165003736   0.1165003736  -2.75551  3.51181   12.4647  13.6885  11.3793
   0.1168239104   0.1168239104  -2.75076  3.51245   12.4486  13.6676  11.3651
   0.1171474471   0.1171474471  -2.74602  3.51309   12.4326  13.6468  11.3509
   0.1174709839   0.1174709839  -2.74128  3.51372   12.4165  13.6260  11.3367
   0.1177945206   0.1177945206  -2.73654  3.51436   12.4004  13.6053  11.3225
   0.1181180573   0.1181180573  -2.73181  3.51499   12.3842  13.5845  11.3082
   0.1184415941   0.1184415941  -2.72708  3.51563   12.3681  13.5639  11.2939
   0.1187651308   0.1187651308  -2.72235  3.51626   12.3519  13.5432  11.2796
   0.1190886675   0.1190886675  -2.71762  3.51690   12.3357  13.5226  11.2652
   0.1194122043   0.1194122043  -2.71289  3.51753   12.3194  13.5019  11.2507
   0.1197357410   0.1197357410  -2.70817  3.51817   12.3030  13.4813  11.2362
   0.1200592778   0.1200592778  -2.70373  3.51874   12.2878  13.4623  11.2225
   0.1203828145   0.1203828145  -2.70059  3.51904   12.2778  13.4503  11.2134
   0.1207063512   0.1207063512  -2.69746  3.51934   12.2678  13.4383  11.2042
   0.1210298880   0.1210298880  -2.69434  3.51964   12.2578  13.4264  11.1950
   0.1213534247   0.1213534247  -2.69123  3.51994   12.2478  13.4145  11.1859
   0.1216769614   0.1216769614  -2.68812  3.52023   12.2378  13.4026  11.1767
   0.1220004982   0.1220004982  -2.68502  3.52053   12.2279  13.3908  11.1676
   0.1223240349   0.1223240349  -2.68193  3.52082   12.2179  13.3790  11.1584
   0.1226475717   0.1226475717  -2.67885  3.52112   12.2080  13.3672  11.1493
   0.1229711084   0.1229711084  -2.67577  3.52141   12.1981  13.3555  11.1402
   0.1232946451   0.1232946451  -2.67271  3.52170   12.1882  13.3438  11.1311
   0.1236181819   0.1236181819  -2.66965  3.52200   12.1783  13.3321  11.1220
   0.1239417186   0.1239417186  -2.66659  3.52229   12.1685  13.3205  11.1129
   0.1242652553   0.1242652553  -2.66355  3.52258   12.1586  13.3089  11.1038
   0.1245887921   0.1245887921  -2.66051  3.52287   12.1488  13.2973  11.0948
   0.1249123288   0.1249123288  -2.65747  3.52316   12.1390  13.2858  11.0858
   0.1252358656   0.1252358656  -2.65445  3.52345   12.1292  13.2743  11.0767
   0.1255594023   0.1255594023  -2.65143  3.52374   12.1195  13.2629  11.0677
   0.1258829390   0.1258829390  -2.64842  3.52402   12.1097  13.2515  11.0587
   0.1262064758   0.1262064758  -2.64541  3.52431   12.1000  13.2401  11.0497
   0.1265300125   0.1265300125  -2.64241  3.52460   12.0903  13.2288  11.0408
   0.1268535493   0.1268535493  -2.63942  3.52488   12.0806  13.2175  11.0318
   0.1271770860   0.1271770860  -2.63643  3.52517   12.0709  13.2063  11.0229
   0.1275006227   0.1275006227  -2.63345  3.52545   12.0613  13.1950  11.0140
   0.1278241595   0.1278241595  -2.63048  3.52574   12.0517  13.1838  11.0051
   0.1281476962   0.1281476962  -2.62751  3.52602   12.0421  13.1727  10.9962
   0.1284712329   0.1284712329  -2.62454  3.52630   12.0325  13.1616  10.9874
