# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -1.760   Z = 0.0002735   Y = 0.24739747   Age (Myr) = 12000.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.91485  3.51522   12.6819  13.8079  11.6453
   0.1002555226   0.1002555226  -2.91048  3.51576   12.6692  13.7928  11.6337
   0.1005110452   0.1005110452  -2.90613  3.51630   12.6565  13.7778  11.6221
   0.1007665678   0.1007665678  -2.90181  3.51684   12.6440  13.7629  11.6105
   0.1010220904   0.1010220904  -2.89750  3.51738   12.6314  13.7480  11.5989
   0.1012776130   0.1012776130  -2.89321  3.51791   12.6187  13.7333  11.5872
   0.1015331356   0.1015331356  -2.88892  3.51845   12.6061  13.7186  11.5755
   0.1017886582   0.1017886582  -2.88465  3.51898   12.5935  13.7040  11.5638
   0.1020441808   0.1020441808  -2.88038  3.51951   12.5808  13.6894  11.5520
   0.1022997034   0.1022997034  -2.87612  3.52004   12.5681  13.6749  11.5402
   0.1025552260   0.1025552260  -2.87186  3.52057   12.5554  13.6605  11.5284
   0.1028107486   0.1028107486  -2.86762  3.52110   12.5427  13.6461  11.5165
   0.1030662712   0.1030662712  -2.86339  3.52163   12.5300  13.6318  11.5046
   0.1033217939   0.1033217939  -2.85916  3.52215   12.5172  13.6176  11.4926
   0.1035773165   0.1035773165  -2.85496  3.52268   12.5046  13.6034  11.4807
   0.1038328391   0.1038328391  -2.85078  3.52320   12.4919  13.5893  11.4688
   0.1040883617   0.1040883617  -2.84660  3.52372   12.4792  13.5753  11.4569
   0.1043438843   0.1043438843  -2.84243  3.52424   12.4666  13.5613  11.4450
   0.1045994069   0.1045994069  -2.83827  3.52476   12.4539  13.5474  11.4331
   0.1048549295   0.1048549295  -2.83412  3.52527   12.4413  13.5335  11.4212
   0.1051104521   0.1051104521  -2.82997  3.52579   12.4287  13.5196  11.4093
   0.1053659747   0.1053659747  -2.82583  3.52630   12.4160  13.5057  11.3974
   0.1056214973   0.1056214973  -2.82171  3.52682   12.4035  13.4920  11.3855
   0.1058770199   0.1058770199  -2.81761  3.52733   12.3909  13.4783  11.3737
   0.1061325425   0.1061325425  -2.81351  3.52784   12.3784  13.4646  11.3619
   0.1063880651   0.1063880651  -2.80942  3.52835   12.3659  13.4509  11.3501
   0.1066435877   0.1066435877  -2.80533  3.52886   12.3535  13.4373  11.3383
   0.1068991103   0.1068991103  -2.80126  3.52937   12.3410  13.4237  11.3266
   0.1071546329   0.1071546329  -2.79719  3.52987   12.3286  13.4101  11.3149
   0.1074101555   0.1074101555  -2.79314  3.53038   12.3163  13.3966  11.3033
   0.1076656781   0.1076656781  -2.78910  3.53088   12.3039  13.3830  11.2917
   0.1079212007   0.1079212007  -2.78506  3.53138   12.2917  13.3695  11.2802
   0.1081767233   0.1081767233  -2.78103  3.53189   12.2794  13.3561  11.2687
   0.1084322459   0.1084322459  -2.77701  3.53239   12.2672  13.3426  11.2573
   0.1086877685   0.1086877685  -2.77300  3.53289   12.2551  13.3291  11.2459
   0.1089432911   0.1089432911  -2.76900  3.53338   12.2430  13.3157  11.2346
   0.1091988137   0.1091988137  -2.76500  3.53388   12.2309  13.3023  11.2234
   0.1094543363   0.1094543363  -2.76101  3.53438   12.2189  13.2889  11.2122
   0.1097098590   0.1097098590  -2.75703  3.53487   12.2069  13.2755  11.2010
   0.1099653816   0.1099653816  -2.75306  3.53537   12.1949  13.2621  11.1899
   0.1102209042   0.1102209042  -2.74910  3.53586   12.1830  13.2487  11.1788
   0.1104764268   0.1104764268  -2.74514  3.53635   12.1711  13.2354  11.1678
   0.1107319494   0.1107319494  -2.74119  3.53685   12.1593  13.2220  11.1569
   0.1109874720   0.1109874720  -2.73724  3.53734   12.1475  13.2086  11.1459
   0.1112429946   0.1112429946  -2.73330  3.53783   12.1357  13.1953  11.1351
   0.1114985172   0.1114985172  -2.72937  3.53831   12.1239  13.1819  11.1242
   0.1117540398   0.1117540398  -2.72544  3.53880   12.1122  13.1686  11.1134
   0.1120095624   0.1120095624  -2.72152  3.53929   12.1006  13.1552  11.1027
   0.1122650850   0.1122650850  -2.71761  3.53978   12.0889  13.1418  11.0920
   0.1125206076   0.1125206076  -2.71370  3.54026   12.0773  13.1285  11.0813
   0.1127761302   0.1127761302  -2.70979  3.54075   12.0657  13.1151  11.0707
   0.1130316528   0.1130316528  -2.70589  3.54123   12.0541  13.1017  11.0601
   0.1132871754   0.1132871754  -2.70200  3.54171   12.0426  13.0883  11.0496
   0.1135426980   0.1135426980  -2.69810  3.54220   12.0311  13.0749  11.0391
   0.1137982206   0.1137982206  -2.69421  3.54268   12.0196  13.0614  11.0286
   0.1140537432   0.1140537432  -2.69033  3.54316   12.0081  13.0480  11.0181
   0.1143092658   0.1143092658  -2.68645  3.54364   11.9966  13.0345  11.0077
   0.1145647884   0.1145647884  -2.68257  3.54412   11.9852  13.0210  10.9973
   0.1148203110   0.1148203110  -2.67870  3.54460   11.9738  13.0075  10.9870
   0.1150758336   0.1150758336  -2.67482  3.54507   11.9624  12.9940  10.9767
   0.1153313562   0.1153313562  -2.67096  3.54555   11.9510  12.9805  10.9664
   0.1155868788   0.1155868788  -2.66709  3.54603   11.9397  12.9669  10.9561
   0.1158424014   0.1158424014  -2.66322  3.54650   11.9283  12.9533  10.9459
   0.1160979240   0.1160979240  -2.65935  3.54698   11.9170  12.9397  10.9357
   0.1163534467   0.1163534467  -2.65549  3.54746   11.9057  12.9261  10.9255
   0.1166089693   0.1166089693  -2.65163  3.54793   11.8944  12.9124  10.9153
   0.1168644919   0.1168644919  -2.64777  3.54840   11.8831  12.8988  10.9052
