# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -1.500   Z = 0.0004968   Y = 0.24756614   Age (Myr) = 13000.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.93966  3.50575   12.8222  14.0113  11.7586
   0.1002532051   0.1002532051  -2.93534  3.50630   12.8094  13.9955  11.7471
   0.1005064102   0.1005064102  -2.93104  3.50685   12.7968  13.9798  11.7357
   0.1007596153   0.1007596153  -2.92678  3.50739   12.7842  13.9643  11.7244
   0.1010128204   0.1010128204  -2.92253  3.50793   12.7717  13.9487  11.7131
   0.1012660255   0.1012660255  -2.91828  3.50847   12.7592  13.9332  11.7018
   0.1015192306   0.1015192306  -2.91404  3.50901   12.7467  13.9178  11.6906
   0.1017724357   0.1017724357  -2.90982  3.50955   12.7343  13.9023  11.6793
   0.1020256409   0.1020256409  -2.90560  3.51009   12.7219  13.8869  11.6681
   0.1022788460   0.1022788460  -2.90139  3.51063   12.7094  13.8715  11.6569
   0.1025320511   0.1025320511  -2.89718  3.51116   12.6970  13.8562  11.6457
   0.1027852562   0.1027852562  -2.89299  3.51170   12.6846  13.8409  11.6345
   0.1030384613   0.1030384613  -2.88880  3.51223   12.6723  13.8257  11.6233
   0.1032916664   0.1032916664  -2.88462  3.51276   12.6599  13.8105  11.6121
   0.1035448715   0.1035448715  -2.88047  3.51329   12.6476  13.7954  11.6009
   0.1037980766   0.1037980766  -2.87634  3.51382   12.6353  13.7804  11.5898
   0.1040512817   0.1040512817  -2.87221  3.51435   12.6230  13.7655  11.5786
   0.1043044868   0.1043044868  -2.86809  3.51487   12.6108  13.7506  11.5675
   0.1045576919   0.1045576919  -2.86397  3.51540   12.5985  13.7358  11.5563
   0.1048108970   0.1048108970  -2.85987  3.51592   12.5862  13.7210  11.5451
   0.1050641021   0.1050641021  -2.85576  3.51644   12.5739  13.7063  11.5338
   0.1053173072   0.1053173072  -2.85167  3.51696   12.5616  13.6917  11.5226
   0.1055705123   0.1055705123  -2.84760  3.51748   12.5494  13.6772  11.5113
   0.1058237174   0.1058237174  -2.84354  3.51800   12.5371  13.6628  11.5001
   0.1060769226   0.1060769226  -2.83949  3.51852   12.5249  13.6484  11.4888
   0.1063301277   0.1063301277  -2.83544  3.51903   12.5126  13.6341  11.4775
   0.1065833328   0.1065833328  -2.83141  3.51955   12.5004  13.6199  11.4661
   0.1068365379   0.1068365379  -2.82737  3.52006   12.4881  13.6058  11.4547
   0.1070897430   0.1070897430  -2.82334  3.52058   12.4758  13.5917  11.4433
   0.1073429481   0.1073429481  -2.81934  3.52109   12.4635  13.5778  11.4318
   0.1075961532   0.1075961532  -2.81534  3.52160   12.4513  13.5638  11.4204
   0.1078493583   0.1078493583  -2.81135  3.52211   12.4390  13.5500  11.4090
   0.1081025634   0.1081025634  -2.80737  3.52262   12.4267  13.5362  11.3975
   0.1083557685   0.1083557685  -2.80339  3.52312   12.4145  13.5224  11.3860
   0.1086089736   0.1086089736  -2.79942  3.52363   12.4022  13.5087  11.3745
   0.1088621787   0.1088621787  -2.79546  3.52414   12.3900  13.4951  11.3630
   0.1091153838   0.1091153838  -2.79151  3.52464   12.3777  13.4815  11.3515
   0.1093685889   0.1093685889  -2.78756  3.52514   12.3655  13.4680  11.3401
   0.1096217940   0.1096217940  -2.78362  3.52565   12.3533  13.4545  11.3286
   0.1098749992   0.1098749992  -2.77969  3.52615   12.3411  13.4410  11.3171
   0.1101282043   0.1101282043  -2.77577  3.52665   12.3289  13.4276  11.3057
   0.1103814094   0.1103814094  -2.77185  3.52715   12.3168  13.4142  11.2942
   0.1106346145   0.1106346145  -2.76794  3.52765   12.3046  13.4008  11.2828
   0.1108878196   0.1108878196  -2.76404  3.52814   12.2925  13.3874  11.2714
   0.1111410247   0.1111410247  -2.76014  3.52864   12.2803  13.3741  11.2600
   0.1113942298   0.1113942298  -2.75625  3.52914   12.2682  13.3608  11.2486
   0.1116474349   0.1116474349  -2.75236  3.52963   12.2562  13.3475  11.2373
   0.1119006400   0.1119006400  -2.74848  3.53013   12.2441  13.3342  11.2260
   0.1121538451   0.1121538451  -2.74460  3.53062   12.2321  13.3209  11.2147
   0.1124070502   0.1124070502  -2.74073  3.53111   12.2201  13.3077  11.2034
   0.1126602553   0.1126602553  -2.73687  3.53161   12.2081  13.2944  11.1922
   0.1129134604   0.1129134604  -2.73301  3.53210   12.1961  13.2812  11.1810
   0.1131666655   0.1131666655  -2.72915  3.53259   12.1842  13.2679  11.1699
   0.1134198706   0.1134198706  -2.72530  3.53308   12.1723  13.2547  11.1588
   0.1136730757   0.1136730757  -2.72145  3.53357   12.1604  13.2414  11.1477
   0.1139262809   0.1139262809  -2.71760  3.53406   12.1485  13.2281  11.1367
   0.1141794860   0.1141794860  -2.71376  3.53455   12.1367  13.2149  11.1257
   0.1144326911   0.1144326911  -2.70992  3.53504   12.1249  13.2016  11.1147
   0.1146858962   0.1146858962  -2.70608  3.53552   12.1131  13.1883  11.1038
   0.1149391013   0.1149391013  -2.70225  3.53601   12.1013  13.1750  11.0929
   0.1151923064   0.1151923064  -2.69842  3.53650   12.0896  13.1617  11.0820
   0.1154455115   0.1154455115  -2.69459  3.53698   12.0778  13.1484  11.0712
   0.1156987166   0.1156987166  -2.69076  3.53747   12.0661  13.1351  11.0603
   0.1159519217   0.1159519217  -2.68693  3.53795   12.0544  13.1217  11.0495
   0.1162051268   0.1162051268  -2.68311  3.53844   12.0427  13.1084  11.0388
   0.1164583319   0.1164583319  -2.67928  3.53892   12.0310  13.0950  11.0280
   0.1167115370   0.1167115370  -2.67546  3.53941   12.0193  13.0816  11.0173
   0.1169647421   0.1169647421  -2.67164  3.53989   12.0077  13.0682  11.0066
   0.1172179472   0.1172179472  -2.66782  3.54037   11.9960  13.0547  10.9960
   0.1174711523   0.1174711523  -2.66400  3.54086   11.9844  13.0412  10.9853
   0.1177243575   0.1177243575  -2.66017  3.54134   11.9728  13.0277  10.9747
   0.1179775626   0.1179775626  -2.65635  3.54182   11.9612  13.0142  10.9641
   0.1182307677   0.1182307677  -2.65253  3.54230   11.9496  13.0006  10.9535
   0.1184839728   0.1184839728  -2.64871  3.54278   11.9380  12.9870  10.9430
   0.1187371779   0.1187371779  -2.64489  3.54327   11.9264  12.9734  10.9324
   0.1189903830   0.1189903830  -2.64106  3.54375   11.9148  12.9597  10.9219
   0.1192435881   0.1192435881  -2.63724  3.54423   11.9032  12.9460  10.9114
   0.1194967932   0.1194967932  -2.63341  3.54471   11.8917  12.9323  10.9010
   0.1197499983   0.1197499983  -2.62959  3.54519   11.8801  12.9186  10.8905
   0.1200032034   0.1200032034  -2.62578  3.54566   11.8686  12.9048  10.8801
   0.1202564085   0.1202564085  -2.62330  3.54589   11.8615  12.8966  10.8735
   0.1205096136   0.1205096136  -2.62083  3.54612   11.8544  12.8884  10.8669
   0.1207628187   0.1207628187  -2.61837  3.54634   11.8473  12.8802  10.8604
   0.1210160238   0.1210160238  -2.61590  3.54657   11.8402  12.8720  10.8538
   0.1212692289   0.1212692289  -2.61344  3.54680   11.8331  12.8638  10.8473
   0.1215224340   0.1215224340  -2.61099  3.54703   11.8260  12.8556  10.8408
   0.1217756392   0.1217756392  -2.60854  3.54725   11.8190  12.8474  10.8343
   0.1220288443   0.1220288443  -2.60609  3.54748   11.8119  12.8392  10.8278
   0.1222820494   0.1222820494  -2.60365  3.54770   11.8049  12.8311  10.8213
   0.1225352545   0.1225352545  -2.60121  3.54793   11.7979  12.8229  10.8148
   0.1227884596   0.1227884596  -2.59878  3.54815   11.7909  12.8147  10.8084
