# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -1.400   Z = 0.0006251   Y = 0.24780279   Age (Myr) = 12000.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.94962  3.50193   12.8814  14.1004  11.8049
   0.1002712509   0.1002712509  -2.94499  3.50253   12.8674  14.0831  11.7923
   0.1005425019   0.1005425019  -2.94037  3.50312   12.8535  14.0658  11.7797
   0.1008137528   0.1008137528  -2.93576  3.50372   12.8396  14.0486  11.7672
   0.1010850037   0.1010850037  -2.93117  3.50431   12.8258  14.0314  11.7547
   0.1013562546   0.1013562546  -2.92660  3.50490   12.8120  14.0143  11.7423
   0.1016275056   0.1016275056  -2.92206  3.50548   12.7984  13.9972  11.7300
   0.1018987565   0.1018987565  -2.91753  3.50607   12.7847  13.9802  11.7177
   0.1021700074   0.1021700074  -2.91301  3.50665   12.7711  13.9632  11.7055
   0.1024412583   0.1024412583  -2.90850  3.50723   12.7576  13.9463  11.6933
   0.1027125093   0.1027125093  -2.90400  3.50781   12.7441  13.9294  11.6812
   0.1029837602   0.1029837602  -2.89951  3.50839   12.7306  13.9125  11.6691
   0.1032550111   0.1032550111  -2.89503  3.50897   12.7171  13.8957  11.6569
   0.1035262620   0.1035262620  -2.89056  3.50955   12.7037  13.8789  11.6449
   0.1037975130   0.1037975130  -2.88610  3.51012   12.6902  13.8621  11.6328
   0.1040687639   0.1040687639  -2.88164  3.51070   12.6768  13.8454  11.6207
   0.1043400148   0.1043400148  -2.87721  3.51127   12.6635  13.8288  11.6087
   0.1046112658   0.1046112658  -2.87280  3.51184   12.6502  13.8123  11.5968
   0.1048825167   0.1048825167  -2.86840  3.51241   12.6369  13.7959  11.5848
   0.1051537676   0.1051537676  -2.86401  3.51297   12.6237  13.7795  11.5728
   0.1054250185   0.1054250185  -2.85963  3.51354   12.6104  13.7632  11.5609
   0.1056962695   0.1056962695  -2.85525  3.51410   12.5972  13.7469  11.5489
   0.1059675204   0.1059675204  -2.85089  3.51467   12.5839  13.7308  11.5369
   0.1062387713   0.1062387713  -2.84653  3.51523   12.5707  13.7146  11.5249
   0.1065100222   0.1065100222  -2.84219  3.51579   12.5575  13.6986  11.5129
   0.1067812732   0.1067812732  -2.83786  3.51635   12.5443  13.6827  11.5009
   0.1070525241   0.1070525241  -2.83355  3.51691   12.5311  13.6669  11.4888
   0.1073237750   0.1073237750  -2.82924  3.51746   12.5180  13.6511  11.4768
   0.1075950259   0.1075950259  -2.82494  3.51802   12.5048  13.6355  11.4647
   0.1078662769   0.1078662769  -2.82065  3.51857   12.4915  13.6199  11.4526
   0.1081375278   0.1081375278  -2.81636  3.51912   12.4783  13.6044  11.4404
   0.1084087787   0.1084087787  -2.81210  3.51967   12.4652  13.5890  11.4282
   0.1086800296   0.1086800296  -2.80785  3.52022   12.4520  13.5737  11.4161
