# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -0.450   Z = 0.0054849   Y = 0.25501480   Age (Myr) = 12500.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -3.04130  3.46535   13.6449  15.4784  12.3727
   0.1003153979   0.1003153979  -3.03603  3.46607   13.6243  15.4459  12.3548
   0.1006307958   0.1006307958  -3.03078  3.46680   13.6038  15.4135  12.3370
   0.1009461937   0.1009461937  -3.02554  3.46752   13.5834  15.3814  12.3193
   0.1012615916   0.1012615916  -3.02032  3.46825   13.5630  15.3494  12.3016
   0.1015769895   0.1015769895  -3.01511  3.46897   13.5427  15.3176  12.2840
   0.1018923874   0.1018923874  -3.00992  3.46968   13.5224  15.2860  12.2664
   0.1022077853   0.1022077853  -3.00474  3.47040   13.5022  15.2545  12.2489
   0.1025231832   0.1025231832  -2.99960  3.47111   13.4822  15.2235  12.2315
   0.1028385811   0.1028385811  -2.99449  3.47182   13.4623  15.1926  12.2142
   0.1031539789   0.1031539789  -2.98939  3.47252   13.4424  15.1619  12.1970
   0.1034693768   0.1034693768  -2.98430  3.47323   13.4226  15.1314  12.1799
   0.1037847747   0.1037847747  -2.97922  3.47393   13.4029  15.1011  12.1628
   0.1041001726   0.1041001726  -2.97416  3.47463   13.3832  15.0710  12.1457
   0.1044155705   0.1044155705  -2.96910  3.47533   13.3636  15.0411  12.1288
   0.1047309684   0.1047309684  -2.96406  3.47603   13.3440  15.0114  12.1119
   0.1050463663   0.1050463663  -2.95904  3.47672   13.3246  14.9819  12.0950
   0.1053617642   0.1053617642  -2.95402  3.47741   13.3052  14.9525  12.0783
   0.1056771621   0.1056771621  -2.94903  3.47811   13.2859  14.9234  12.0616
   0.1059925600   0.1059925600  -2.94406  3.47879   13.2668  14.8946  12.0450
   0.1063079579   0.1063079579  -2.93911  3.47948   13.2477  14.8660  12.0286
   0.1066233558   0.1066233558  -2.93417  3.48016   13.2287  14.8376  12.0121
   0.1069387537   0.1069387537  -2.92924  3.48084   13.2098  14.8094  11.9958
   0.1072541516   0.1072541516  -2.92431  3.48152   13.1909  14.7813  11.9795
   0.1075695495   0.1075695495  -2.91940  3.48220   13.1721  14.7534  11.9633
   0.1078849474   0.1078849474  -2.91450  3.48288   13.1534  14.7258  11.9471
   0.1082003453   0.1082003453  -2.90963  3.48356   13.1348  14.6983  11.9310
   0.1085157432   0.1085157432  -2.90477  3.48423   13.1163  14.6711  11.9150
   0.1088311411   0.1088311411  -2.89992  3.48490   13.0978  14.6441  11.8991
   0.1091465390   0.1091465390  -2.89508  3.48557   13.0795  14.6172  11.8832
   0.1094619368   0.1094619368  -2.89025  3.48624   13.0612  14.5905  11.8674
   0.1097773347   0.1097773347  -2.88543  3.48690   13.0429  14.5639  11.8516
   0.1100927326   0.1100927326  -2.88063  3.48757   13.0248  14.5376  11.8360
   0.1104081305   0.1104081305  -2.87585  3.48823   13.0067  14.5115  11.8204
   0.1107235284   0.1107235284  -2.87107  3.48889   12.9887  14.4855  11.8048
   0.1110389263   0.1110389263  -2.86630  3.48955   12.9708  14.4597  11.7893
   0.1113543242   0.1113543242  -2.86154  3.49021   12.9529  14.4341  11.7738
   0.1116697221   0.1116697221  -2.85679  3.49087   12.9351  14.4086  11.7584
   0.1119851200   0.1119851200  -2.85206  3.49152   12.9174  14.3834  11.7431
   0.1123005179   0.1123005179  -2.84733  3.49218   12.8998  14.3582  11.7278
   0.1126159158   0.1126159158  -2.84261  3.49283   12.8822  14.3333  11.7125
   0.1129313137   0.1129313137  -2.83791  3.49348   12.8646  14.3085  11.6974
   0.1132467116   0.1132467116  -2.83321  3.49413   12.8472  14.2839  11.6822
   0.1135621095   0.1135621095  -2.82853  3.49478   12.8298  14.2594  11.6672
   0.1138775074   0.1138775074  -2.82384  3.49543   12.8125  14.2350  11.6521
   0.1141929053   0.1141929053  -2.81918  3.49607   12.7952  14.2108  11.6371
   0.1145083032   0.1145083032  -2.81451  3.49672   12.7780  14.1868  11.6222
   0.1148237011   0.1148237011  -2.80986  3.49736   12.7609  14.1629  11.6073
   0.1151390990   0.1151390990  -2.80521  3.49801   12.7438  14.1391  11.5925
   0.1154544969   0.1154544969  -2.80057  3.49865   12.7268  14.1155  11.5777
   0.1157698947   0.1157698947  -2.79593  3.49929   12.7098  14.0920  11.5629
   0.1160852926   0.1160852926  -2.79131  3.49993   12.6929  14.0686  11.5483
   0.1164006905   0.1164006905  -2.78669  3.50057   12.6761  14.0453  11.5336
   0.1167160884   0.1167160884  -2.78207  3.50121   12.6593  14.0222  11.5190
   0.1170314863   0.1170314863  -2.77746  3.50185   12.6426  13.9992  11.5045
   0.1173468842   0.1173468842  -2.77285  3.50249   12.6259  13.9763  11.4900
   0.1176622821   0.1176622821  -2.76825  3.50312   12.6092  13.9535  11.4755
   0.1179776800   0.1179776800  -2.76365  3.50376   12.5927  13.9308  11.4611
   0.1182930779   0.1182930779  -2.75906  3.50440   12.5761  13.9082  11.4467
   0.1186084758   0.1186084758  -2.75447  3.50503   12.5597  13.8857  11.4324
   0.1189238737   0.1189238737  -2.74988  3.50567   12.5432  13.8634  11.4181
   0.1192392716   0.1192392716  -2.74530  3.50630   12.5269  13.8411  11.4039
   0.1195546695   0.1195546695  -2.74072  3.50693   12.5105  13.8189  11.3897
   0.1198700674   0.1198700674  -2.73614  3.50757   12.4942  13.7967  11.3755
   0.1201854653   0.1201854653  -2.73246  3.50800   12.4817  13.7802  11.3645
   0.1205008632   0.1205008632  -2.72942  3.50830   12.4718  13.7677  11.3556
   0.1208162611   0.1208162611  -2.72638  3.50859   12.4620  13.7552  11.3468
   0.1211316590   0.1211316590  -2.72335  3.50889   12.4522  13.7427  11.3379
   0.1214470569   0.1214470569  -2.72033  3.50918   12.4424  13.7303  11.3292
   0.1217624548   0.1217624548  -2.71731  3.50947   12.4327  13.7179  11.3204
   0.1220778526   0.1220778526  -2.71430  3.50977   12.4229  13.7055  11.3116
   0.1223932505   0.1223932505  -2.71130  3.51006   12.4132  13.6932  11.3029
   0.1227086484   0.1227086484  -2.70831  3.51035   12.4035  13.6810  11.2942
   0.1230240463   0.1230240463  -2.70532  3.51064   12.3939  13.6687  11.2855
   0.1233394442   0.1233394442  -2.70234  3.51093   12.3842  13.6565  11.2768
   0.1236548421   0.1236548421  -2.69937  3.51122   12.3746  13.6444  11.2682
   0.1239702400   0.1239702400  -2.69641  3.51151   12.3650  13.6323  11.2596
   0.1242856379   0.1242856379  -2.69345  3.51179   12.3555  13.6202  11.2509
   0.1246010358   0.1246010358  -2.69049  3.51208   12.3459  13.6082  11.2423
   0.1249164337   0.1249164337  -2.68755  3.51237   12.3364  13.5962  11.2337
   0.1252318316   0.1252318316  -2.68461  3.51265   12.3269  13.5842  11.2252
   0.1255472295   0.1255472295  -2.68168  3.51294   12.3174  13.5723  11.2166
   0.1258626274   0.1258626274  -2.67875  3.51322   12.3079  13.5603  11.2081
   0.1261780253   0.1261780253  -2.67582  3.51351   12.2984  13.5485  11.1995
   0.1264934232   0.1264934232  -2.67291  3.51379   12.2890  13.5366  11.1910
   0.1268088211   0.1268088211  -2.67000  3.51407   12.2796  13.5248  11.1825
   0.1271242190   0.1271242190  -2.66709  3.51435   12.2701  13.5130  11.1740
   0.1274396169   0.1274396169  -2.66420  3.51464   12.2607  13.5013  11.1655
   0.1277550148   0.1277550148  -2.66130  3.51492   12.2514  13.4896  11.1570
   0.1280704127   0.1280704127  -2.65842  3.51520   12.2420  13.4779  11.1486
   0.1283858105   0.1283858105  -2.65554  3.51548   12.2326  13.4662  11.1401
   0.1287012084   0.1287012084  -2.65266  3.51576   12.2233  13.4546  11.1317
   0.1290166063   0.1290166063  -2.64979  3.51604   12.2139  13.4430  11.1232
   0.1293320042   0.1293320042  -2.64693  3.51631   12.2046  13.4314  11.1148
   0.1296474021   0.1296474021  -2.64407  3.51659   12.1953  13.4198  11.1063
   0.1299628000   0.1299628000  -2.64122  3.51687   12.1860  13.4083  11.0979
   0.1302781979   0.1302781979  -2.63837  3.51715   12.1767  13.3968  11.0895
   0.1305935958   0.1305935958  -2.63552  3.51742   12.1674  13.3853  11.0811
   0.1309089937   0.1309089937  -2.63269  3.51770   12.1581  13.3738  11.0727
   0.1312243916   0.1312243916  -2.62985  3.51797   12.1489  13.3624  11.0642
   0.1342159336   0.1342159336  -2.60301  3.52056   12.0607  13.2543  10.9840
   0.1372074756   0.1372074756  -2.57676  3.52310   11.9739  13.1492  10.9047
   0.1401990176   0.1401990176  -2.55106  3.52557   11.8890  13.0474  10.8268
   0.1431905597   0.1431905597  -2.52591  3.52800   11.8062  12.9493  10.7507
   0.1461821017   0.1461821017  -2.50127  3.53037   11.7260  12.8552  10.6767
   0.1491736437   0.1491736437  -2.47698  3.53270   11.6481  12.7648  10.6047
   0.1521651857   0.1521651857  -2.45593  3.53436   11.5841  12.6925  10.5447
   0.1551567277   0.1551567277  -2.43649  3.53575   11.5264  12.6282  10.4904
   0.1581482697   0.1581482697  -2.41738  3.53711   11.4701  12.5656  10.4374
   0.1611398117   0.1611398117  -2.39857  3.53844   11.4150  12.5045  10.3855
   0.1641313537   0.1641313537  -2.38006  3.53975   11.3610  12.4447  10.3347
   0.1671228958   0.1671228958  -2.36185  3.54104   11.3082  12.3861  10.2849
   0.1701144378   0.1701144378  -2.34392  3.54230   11.2563  12.3285  10.2361
   0.1731059798   0.1731059798  -2.32627  3.54355   11.2054  12.2718  10.1883
   0.1760975218   0.1760975218  -2.30889  3.54477   11.1553  12.2159  10.1413
   0.1790890638   0.1790890638  -2.29176  3.54597   11.1061  12.1608  10.0952
   0.1820806058   0.1820806058  -2.27571  3.54700   11.0605  12.1099  10.0523
   0.1850721478   0.1850721478  -2.26025  3.54796   11.0168  12.0613  10.0112
   0.1880636898   0.1880636898  -2.24501  3.54890   10.9738  12.0133   9.9707
   0.1910552319   0.1910552319  -2.22999  3.54983   10.9314  11.9660   9.9308
   0.1940467739   0.1940467739  -2.21518  3.55074   10.8896  11.9193   9.8915
   0.1970383159   0.1970383159  -2.20057  3.55164   10.8484  11.8732   9.8528
   0.2000298579   0.2000298579  -2.18617  3.55253   10.8077  11.8278   9.8146
   0.2030213999   0.2030213999  -2.17259  3.55331   10.7697  11.7854   9.7788
   0.2060129419   0.2060129419  -2.15911  3.55408   10.7319  11.7434   9.7432
   0.2090044839   0.2090044839  -2.14568  3.55485   10.6943  11.7015   9.7077
   0.2119960259   0.2119960259  -2.13243  3.55561   10.6572  11.6602   9.6728
   0.2149875679   0.2149875679  -2.11936  3.55635   10.6206  11.6194   9.6382
   0.2179791100   0.2179791100  -2.10646  3.55708   10.5844  11.5792   9.6042
   0.2209706520   0.2209706520  -2.09374  3.55781   10.5487  11.5395   9.5705
   0.2239621940   0.2239621940  -2.08117  3.55852   10.5134  11.5003   9.5373
   0.2269537360   0.2269537360  -2.06877  3.55922   10.4786  11.4616   9.5045
   0.2299452780   0.2299452780  -2.05653  3.55992   10.4442  11.4234   9.4720
   0.2329368200   0.2329368200  -2.04443  3.56060   10.4103  11.3856   9.4400
   0.2359283620   0.2359283620  -2.03249  3.56128   10.3767  11.3484   9.4084
   0.2389199040   0.2389199040  -2.02069  3.56194   10.3436  11.3116   9.3772
   0.2419114461   0.2419114461  -2.00904  3.56260   10.3109  11.2753   9.3463
   0.2449029881   0.2449029881  -1.99752  3.56325   10.2785  11.2394   9.3158
   0.2478945301   0.2478945301  -1.98613  3.56390   10.2466  11.2040   9.2857
   0.2508860721   0.2508860721  -1.97499  3.56452   10.2154  11.1694   9.2562
   0.2538776141   0.2538776141  -1.96423  3.56511   10.1853  11.1361   9.2278
   0.2568691561   0.2568691561  -1.95360  3.56570   10.1555  11.1033   9.1997
   0.2598606981   0.2598606981  -1.94309  3.56628   10.1262  11.0709   9.1720
   0.2628522401   0.2628522401  -1.93272  3.56685   10.0972  11.0389   9.1446
   0.2658437822   0.2658437822  -1.92246  3.56741   10.0686  11.0073   9.1176
   0.2688353242   0.2688353242  -1.91232  3.56797   10.0403  10.9761   9.0908
   0.2718268662   0.2718268662  -1.90229  3.56852   10.0124  10.9453   9.0644
   0.2748184082   0.2748184082  -1.89238  3.56906    9.9848  10.9149   9.0383
   0.2778099502   0.2778099502  -1.88257  3.56960    9.9575  10.8848   9.0125
   0.2808014922   0.2808014922  -1.87285  3.57014    9.9305  10.8551   8.9870
   0.2837930342   0.2837930342  -1.86324  3.57066    9.9038  10.8257   8.9617
   0.2867845762   0.2867845762  -1.85374  3.57119    9.8774  10.7967   8.9368
   0.2897761183   0.2897761183  -1.84434  3.57170    9.8513  10.7681   8.9121
   0.2927676603   0.2927676603  -1.83505  3.57221    9.8256  10.7398   8.8877
   0.2957592023   0.2957592023  -1.82586  3.57272    9.8001  10.7118   8.8636
   0.2987507443   0.2987507443  -1.81676  3.57321    9.7749  10.6842   8.8398
   0.3017422863   0.3017422863  -1.80804  3.57369    9.7508  10.6577   8.8170
   0.3047338283   0.3047338283  -1.79961  3.57415    9.7275  10.6322   8.7949
   0.3077253703   0.3077253703  -1.79127  3.57461    9.7045  10.6069   8.7731
   0.3107169123   0.3107169123  -1.78301  3.57506    9.6817  10.5820   8.7515
   0.3137084544   0.3137084544  -1.77482  3.57551    9.6591  10.5573   8.7301
   0.3166999964   0.3166999964  -1.76668  3.57595    9.6367  10.5328   8.7089
   0.3196915384   0.3196915384  -1.75862  3.57638    9.6145  10.5086   8.6878
   0.3226830804   0.3226830804  -1.75061  3.57681    9.5925  10.4846   8.6670
   0.3256746224   0.3256746224  -1.74263  3.57724    9.5706  10.4607   8.6462
   0.3286661644   0.3286661644  -1.73472  3.57766    9.5489  10.4370   8.6256
   0.3316577064   0.3316577064  -1.72687  3.57808    9.5275  10.4136   8.6052
   0.3346492484   0.3346492484  -1.71910  3.57849    9.5062  10.3905   8.5850
   0.3376407905   0.3376407905  -1.71139  3.57890    9.4851  10.3676   8.5650
   0.3406323325   0.3406323325  -1.70376  3.57931    9.4643  10.3449   8.5452
   0.3436238745   0.3436238745  -1.69620  3.57970    9.4436  10.3225   8.5256
   0.3466154165   0.3466154165  -1.68871  3.58010    9.4232  10.3003   8.5061
   0.3496069585   0.3496069585  -1.68130  3.58049    9.4030  10.2784   8.4869
   0.3525985005   0.3525985005  -1.67237  3.58101    9.3785  10.2516   8.4637
   0.3555900425   0.3555900425  -1.66346  3.58155    9.3539  10.2247   8.4406
   0.3585815845   0.3585815845  -1.65481  3.58209    9.3301  10.1985   8.4180
   0.3615731266   0.3615731266  -1.64646  3.58262    9.3070  10.1731   8.3963
   0.3645646686   0.3645646686  -1.63834  3.58315    9.2845  10.1484   8.3751
   0.3675562106   0.3675562106  -1.63071  3.58371    9.2630  10.1246   8.3551
   0.3705477526   0.3705477526  -1.62335  3.58427    9.2423  10.1015   8.3358
   0.3735392946   0.3735392946  -1.61609  3.58482    9.2219  10.0788   8.3167
   0.3765308366   0.3765308366  -1.60895  3.58535    9.2018  10.0566   8.2979
   0.3795223786   0.3795223786  -1.60200  3.58587    9.1822  10.0348   8.2797
   0.3825139206   0.3825139206  -1.59525  3.58640    9.1632  10.0136   8.2619
   0.3855054627   0.3855054627  -1.58866  3.58692    9.1445   9.9928   8.2446
   0.3884970047   0.3884970047  -1.58222  3.58744    9.1262   9.9724   8.2276
   0.3914885467   0.3914885467  -1.57592  3.58796    9.1083   9.9522   8.2109
   0.3944800887   0.3944800887  -1.56973  3.58848    9.0906   9.9324   8.1945
   0.3974716307   0.3974716307  -1.56362  3.58900    9.0731   9.9127   8.1783
   0.4004631727   0.4004631727  -1.55709  3.58955    9.0544   9.8918   8.1610
   0.4034547147   0.4034547147  -1.54787  3.59024    9.0285   9.8630   8.1368
   0.4064462567   0.4064462567  -1.53870  3.59092    9.0027   9.8342   8.1127
   0.4094377988   0.4094377988  -1.52959  3.59160    8.9770   9.8056   8.0888
   0.4124293408   0.4124293408  -1.52054  3.59228    8.9515   9.7772   8.0650
   0.4154208828   0.4154208828  -1.51153  3.59295    8.9260   9.7488   8.0413
   0.4184124248   0.4184124248  -1.50258  3.59362    8.9008   9.7206   8.0177
   0.4214039668   0.4214039668  -1.49368  3.59429    8.8756   9.6925   7.9943
   0.4243955088   0.4243955088  -1.48484  3.59495    8.8506   9.6646   7.9710
   0.4273870508   0.4273870508  -1.47604  3.59561    8.8257   9.6368   7.9478
   0.4303785928   0.4303785928  -1.46729  3.59627    8.8010   9.6092   7.9248
   0.4333701349   0.4333701349  -1.45859  3.59692    8.7765   9.5818   7.9019
   0.4363616769   0.4363616769  -1.44994  3.59758    8.7520   9.5545   7.8792
   0.4393532189   0.4393532189  -1.44133  3.59822    8.7278   9.5274   7.8566
   0.4423447609   0.4423447609  -1.43277  3.59887    8.7037   9.5005   7.8342
   0.4453363029   0.4453363029  -1.42426  3.59951    8.6798   9.4738   7.8119
   0.4483278449   0.4483278449  -1.41578  3.60015    8.6560   9.4473   7.7898
   0.4513193869   0.4513193869  -1.40663  3.60088    8.6302   9.4184   7.7659
   0.4543109289   0.4543109289  -1.39662  3.60173    8.6019   9.3865   7.7398
   0.4573024709   0.4573024709  -1.38664  3.60258    8.5738   9.3549   7.7139
   0.4602940130   0.4602940130  -1.37672  3.60343    8.5460   9.3237   7.6882
   0.4632855550   0.4632855550  -1.36685  3.60427    8.5184   9.2927   7.6627
   0.4662770970   0.4662770970  -1.35703  3.60511    8.4910   9.2619   7.6374
   0.4692686390   0.4692686390  -1.34725  3.60594    8.4638   9.2314   7.6123
   0.4722601810   0.4722601810  -1.33751  3.60678    8.4367   9.2012   7.5874
   0.4752517230   0.4752517230  -1.32782  3.60761    8.4099   9.1711   7.5627
   0.4782432650   0.4782432650  -1.31817  3.60843    8.3831   9.1412   7.5381
   0.4812348070   0.4812348070  -1.30857  3.60925    8.3566   9.1114   7.5136
   0.4842263491   0.4842263491  -1.29901  3.61007    8.3301   9.0818   7.4892
   0.4872178911   0.4872178911  -1.28948  3.61089    8.3037   9.0523   7.4650
   0.4902094331   0.4902094331  -1.28000  3.61171    8.2775   9.0228   7.4408
   0.4932009751   0.4932009751  -1.27055  3.61252    8.2513   8.9935   7.4167
   0.4961925171   0.4961925171  -1.26115  3.61333    8.2252   8.9641   7.3927
   0.4991840591   0.4991840591  -1.25178  3.61414    8.1991   8.9349   7.3688
   0.5021756011   0.5021756011  -1.24170  3.61500    8.1711   8.9034   7.3430
   0.5051671431   0.5051671431  -1.23137  3.61587    8.1424   8.8712   7.3167
   0.5081586852   0.5081586852  -1.22107  3.61674    8.1138   8.8390   7.2903
   0.5111502272   0.5111502272  -1.21083  3.61761    8.0853   8.8069   7.2641
   0.5141417692   0.5141417692  -1.20062  3.61847    8.0568   8.7749   7.2380
   0.5171333112   0.5171333112  -1.19044  3.61934    8.0284   8.7430   7.2119
   0.5201248532   0.5201248532  -1.18031  3.62020    8.0001   8.7111   7.1859
   0.5231163952   0.5231163952  -1.17021  3.62106    7.9719   8.6793   7.1601
   0.5261079372   0.5261079372  -1.16015  3.62192    7.9438   8.6476   7.1343
   0.5290994792   0.5290994792  -1.15012  3.62277    7.9158   8.6161   7.1086
   0.5320910213   0.5320910213  -1.14012  3.62363    7.8878   8.5846   7.0830
   0.5350825633   0.5350825633  -1.13015  3.62448    7.8600   8.5532   7.0575
   0.5380741053   0.5380741053  -1.12022  3.62534    7.8322   8.5219   7.0321
   0.5410656473   0.5410656473  -1.11031  3.62619    7.8045   8.4907   7.0067
   0.5440571893   0.5440571893  -1.10044  3.62704    7.7768   8.4596   6.9814
   0.5470487313   0.5470487313  -1.09059  3.62789    7.7493   8.4285   6.9562
   0.5500402733   0.5500402733  -1.08076  3.62875    7.7217   8.3974   6.9311
   0.5530318153   0.5530318153  -1.06942  3.63022    7.6881   8.3580   6.9015
   0.5560233574   0.5560233574  -1.05812  3.63169    7.6545   8.3186   6.8720
   0.5590148994   0.5590148994  -1.04684  3.63316    7.6210   8.2793   6.8426
   0.5620064414   0.5620064414  -1.03558  3.63463    7.5875   8.2401   6.8132
   0.5649979834   0.5649979834  -1.02435  3.63610    7.5541   8.2010   6.7839
   0.5679895254   0.5679895254  -1.01314  3.63758    7.5206   8.1619   6.7545
   0.5709810674   0.5709810674  -1.00194  3.63906    7.4872   8.1227   6.7253
   0.5739726094   0.5739726094  -0.99077  3.64053    7.4537   8.0834   6.6960
