# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -1.920   Z = 0.0001891   Y = 0.24724580   Age (Myr) = 12000.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.89933  3.52119   12.5949  13.6911  11.5722
   0.1002370096   0.1002370096  -2.89528  3.52169   12.5828  13.6775  11.5609
   0.1004740193   0.1004740193  -2.89127  3.52218   12.5707  13.6640  11.5496
   0.1007110289   0.1007110289  -2.88727  3.52267   12.5587  13.6506  11.5382
   0.1009480386   0.1009480386  -2.88327  3.52316   12.5466  13.6372  11.5269
   0.1011850482   0.1011850482  -2.87929  3.52365   12.5345  13.6238  11.5155
   0.1014220579   0.1014220579  -2.87531  3.52413   12.5225  13.6105  11.5042
   0.1016590675   0.1016590675  -2.87133  3.52462   12.5104  13.5972  11.4928
   0.1018960771   0.1018960771  -2.86737  3.52510   12.4983  13.5839  11.4814
   0.1021330868   0.1021330868  -2.86341  3.52559   12.4862  13.5707  11.4700
   0.1023700964   0.1023700964  -2.85946  3.52607   12.4742  13.5575  11.4587
   0.1026071061   0.1026071061  -2.85552  3.52655   12.4621  13.5443  11.4473
   0.1028441157   0.1028441157  -2.85158  3.52703   12.4501  13.5311  11.4360
   0.1030811253   0.1030811253  -2.84767  3.52751   12.4381  13.5180  11.4247
   0.1033181350   0.1033181350  -2.84377  3.52799   12.4262  13.5050  11.4135
   0.1035551446   0.1035551446  -2.83988  3.52847   12.4143  13.4920  11.4022
   0.1037921543   0.1037921543  -2.83600  3.52894   12.4024  13.4790  11.3911
   0.1040291639   0.1040291639  -2.83213  3.52942   12.3906  13.4661  11.3799
   0.1042661736   0.1042661736  -2.82826  3.52989   12.3788  13.4532  11.3688
   0.1045031832   0.1045031832  -2.82439  3.53036   12.3670  13.4403  11.3577
   0.1047401928   0.1047401928  -2.82054  3.53083   12.3553  13.4274  11.3467
   0.1049772025   0.1049772025  -2.81668  3.53130   12.3435  13.4145  11.3357
   0.1052142121   0.1052142121  -2.81286  3.53177   12.3319  13.4017  11.3248
   0.1054512218   0.1054512218  -2.80905  3.53224   12.3204  13.3890  11.3140
   0.1056882314   0.1056882314  -2.80523  3.53271   12.3088  13.3763  11.3032
   0.1059252410   0.1059252410  -2.80143  3.53317   12.2974  13.3635  11.2925
   0.1061622507   0.1061622507  -2.79763  3.53364   12.2859  13.3508  11.2818
   0.1063992603   0.1063992603  -2.79383  3.53410   12.2745  13.3381  11.2712
   0.1066362700   0.1066362700  -2.79005  3.53457   12.2631  13.3255  11.2606
   0.1068732796   0.1068732796  -2.78628  3.53503   12.2518  13.3129  11.2501
   0.1071102893   0.1071102893  -2.78252  3.53549   12.2406  13.3003  11.2396
   0.1073472989   0.1073472989  -2.77876  3.53595   12.2294  13.2877  11.2292
   0.1075843085   0.1075843085  -2.77501  3.53641   12.2182  13.2751  11.2188
   0.1078213182   0.1078213182  -2.77126  3.53687   12.2070  13.2626  11.2085
   0.1080583278   0.1080583278  -2.76753  3.53732   12.1959  13.2501  11.1983
   0.1082953375   0.1082953375  -2.76381  3.53778   12.1849  13.2376  11.1881
   0.1085323471   0.1085323471  -2.76009  3.53823   12.1739  13.2251  11.1779
   0.1087693567   0.1087693567  -2.75637  3.53869   12.1629  13.2126  11.1678
   0.1090063664   0.1090063664  -2.75266  3.53914   12.1519  13.2001  11.1577
   0.1092433760   0.1092433760  -2.74897  3.53960   12.1411  13.1876  11.1477
   0.1094803857   0.1094803857  -2.74527  3.54005   12.1302  13.1751  11.1377
