# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -1.560   Z = 0.0004329   Y = 0.24756614   Age (Myr) = 14500.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.93395  3.50799   12.7887  13.9619  11.7319
   0.1002363373   0.1002363373  -2.92995  3.50850   12.7771  13.9475  11.7214
   0.1004726746   0.1004726746  -2.92597  3.50900   12.7654  13.9331  11.7109
   0.1007090118   0.1007090118  -2.92199  3.50951   12.7538  13.9188  11.7004
   0.1009453491   0.1009453491  -2.91801  3.51001   12.7422  13.9044  11.6899
   0.1011816864   0.1011816864  -2.91405  3.51051   12.7306  13.8901  11.6794
   0.1014180237   0.1014180237  -2.91009  3.51101   12.7190  13.8759  11.6690
   0.1016543610   0.1016543610  -2.90614  3.51151   12.7075  13.8616  11.6585
   0.1018906983   0.1018906983  -2.90219  3.51201   12.6959  13.8474  11.6480
   0.1021270355   0.1021270355  -2.89826  3.51251   12.6844  13.8333  11.6376
   0.1023633728   0.1023633728  -2.89433  3.51301   12.6728  13.8191  11.6271
   0.1025997101   0.1025997101  -2.89043  3.51350   12.6614  13.8051  11.6167
   0.1028360474   0.1028360474  -2.88654  3.51399   12.6499  13.7912  11.6063
   0.1030723847   0.1030723847  -2.88266  3.51449   12.6384  13.7773  11.5959
   0.1033087220   0.1033087220  -2.87878  3.51498   12.6270  13.7635  11.5854
   0.1035450592   0.1035450592  -2.87492  3.51547   12.6155  13.7497  11.5750
   0.1037813965   0.1037813965  -2.87105  3.51596   12.6041  13.7359  11.5645
   0.1040177338   0.1040177338  -2.86720  3.51644   12.5926  13.7223  11.5540
   0.1042540711   0.1042540711  -2.86335  3.51693   12.5811  13.7086  11.5435
   0.1044904084   0.1044904084  -2.85950  3.51742   12.5696  13.6950  11.5329
   0.1047267457   0.1047267457  -2.85569  3.51790   12.5582  13.6816  11.5224
   0.1049630829   0.1049630829  -2.85188  3.51838   12.5468  13.6682  11.5118
   0.1051994202   0.1051994202  -2.84807  3.51887   12.5353  13.6549  11.5012
   0.1054357575   0.1054357575  -2.84427  3.51935   12.5239  13.6416  11.4906
   0.1056720948   0.1056720948  -2.84048  3.51983   12.5124  13.6284  11.4800
   0.1059084321   0.1059084321  -2.83669  3.52031   12.5009  13.6153  11.4693
   0.1061447694   0.1061447694  -2.83291  3.52079   12.4894  13.6022  11.4586
   0.1063811066   0.1063811066  -2.82915  3.52126   12.4780  13.5892  11.4479
   0.1066174439   0.1066174439  -2.82540  3.52174   12.4665  13.5762  11.4372
   0.1068537812   0.1068537812  -2.82165  3.52222   12.4551  13.5633  11.4265
   0.1070901185   0.1070901185  -2.81790  3.52269   12.4436  13.5505  11.4157
   0.1073264558   0.1073264558  -2.81416  3.52316   12.4321  13.5377  11.4050
   0.1075627931   0.1075627931  -2.81043  3.52364   12.4207  13.5249  11.3942
   0.1077991303   0.1077991303  -2.80672  3.52411   12.4092  13.5122  11.3835
   0.1080354676   0.1080354676  -2.80300  3.52458   12.3978  13.4995  11.3727
   0.1082718049   0.1082718049  -2.79930  3.52505   12.3864  13.4869  11.3620
   0.1085081422   0.1085081422  -2.79559  3.52552   12.3749  13.4743  11.3512
   0.1087444795   0.1087444795  -2.79190  3.52599   12.3635  13.4617  11.3405
   0.1089808168   0.1089808168  -2.78821  3.52645   12.3522  13.4492  11.3298
   0.1092171540   0.1092171540  -2.78453  3.52692   12.3408  13.4367  11.3191
   0.1094534913   0.1094534913  -2.78086  3.52739   12.3294  13.4242  11.3084
   0.1096898286   0.1096898286  -2.77718  3.52785   12.3181  13.4117  11.2977
   0.1099261659   0.1099261659  -2.77352  3.52832   12.3067  13.3993  11.2870
   0.1101625032   0.1101625032  -2.76987  3.52878   12.2954  13.3868  11.2764
   0.1103988405   0.1103988405  -2.76621  3.52924   12.2841  13.3744  11.2657
   0.1106351777   0.1106351777  -2.76256  3.52971   12.2728  13.3620  11.2551
   0.1108715150   0.1108715150  -2.75892  3.53017   12.2616  13.3497  11.2446
   0.1111078523   0.1111078523  -2.75529  3.53063   12.2504  13.3373  11.2340
   0.1113441896   0.1113441896  -2.75165  3.53109   12.2391  13.3249  11.2235
   0.1115805269   0.1115805269  -2.74803  3.53155   12.2280  13.3126  11.2130
   0.1118168642   0.1118168642  -2.74440  3.53201   12.2168  13.3002  11.2026
   0.1120532014   0.1120532014  -2.74078  3.53247   12.2057  13.2879  11.1922
   0.1122895387   0.1122895387  -2.73717  3.53292   12.1945  13.2755  11.1818
   0.1125258760   0.1125258760  -2.73355  3.53338   12.1834  13.2632  11.1715
   0.1127622133   0.1127622133  -2.72994  3.53384   12.1724  13.2508  11.1611
   0.1129985506   0.1129985506  -2.72634  3.53429   12.1613  13.2385  11.1509
   0.1132348879   0.1132348879  -2.72273  3.53475   12.1503  13.2261  11.1406
   0.1134712251   0.1134712251  -2.71913  3.53521   12.1392  13.2137  11.1304
   0.1137075624   0.1137075624  -2.71554  3.53566   12.1282  13.2014  11.1202
   0.1139438997   0.1139438997  -2.71194  3.53612   12.1173  13.1890  11.1100
   0.1141802370   0.1141802370  -2.70835  3.53657   12.1063  13.1766  11.0999
   0.1144165743   0.1144165743  -2.70476  3.53702   12.0953  13.1642  11.0898
   0.1146529116   0.1146529116  -2.70117  3.53748   12.0844  13.1518  11.0797
   0.1148892488   0.1148892488  -2.69758  3.53793   12.0735  13.1393  11.0696
   0.1151255861   0.1151255861  -2.69399  3.53838   12.0626  13.1269  11.0596
   0.1153619234   0.1153619234  -2.69040  3.53883   12.0517  13.1144  11.0495
   0.1155982607   0.1155982607  -2.68681  3.53929   12.0408  13.1019  11.0395
   0.1158345980   0.1158345980  -2.68323  3.53974   12.0299  13.0894  11.0296
   0.1160709353   0.1160709353  -2.67964  3.54019   12.0191  13.0769  11.0196
   0.1163072725   0.1163072725  -2.67606  3.54064   12.0082  13.0643  11.0097
   0.1165436098   0.1165436098  -2.67247  3.54109   11.9974  13.0517  10.9998
   0.1167799471   0.1167799471  -2.66889  3.54154   11.9865  13.0391  10.9899
   0.1170162844   0.1170162844  -2.66530  3.54199   11.9757  13.0265  10.9800
   0.1172526217   0.1172526217  -2.66172  3.54244   11.9649  13.0139  10.9701
   0.1174889590   0.1174889590  -2.65813  3.54289   11.9541  13.0012  10.9603
   0.1177252962   0.1177252962  -2.65454  3.54334   11.9433  12.9885  10.9505
   0.1179616335   0.1179616335  -2.65095  3.54379   11.9325  12.9757  10.9407
   0.1181979708   0.1181979708  -2.64737  3.54424   11.9217  12.9630  10.9309
   0.1184343081   0.1184343081  -2.64377  3.54469   11.9109  12.9502  10.9211
   0.1186706454   0.1186706454  -2.64018  3.54513   11.9001  12.9373  10.9113
   0.1189069827   0.1189069827  -2.63659  3.54558   11.8893  12.9245  10.9016
   0.1191433199   0.1191433199  -2.63300  3.54603   11.8786  12.9116  10.8919
   0.1193796572   0.1193796572  -2.62940  3.54648   11.8678  12.8987  10.8822
   0.1196159945   0.1196159945  -2.62581  3.54692   11.8570  12.8857  10.8725
   0.1198523318   0.1198523318  -2.62221  3.54737   11.8463  12.8728  10.8628
   0.1200886691   0.1200886691  -2.61910  3.54773   11.8371  12.8617  10.8544
   0.1203250064   0.1203250064  -2.61678  3.54794   11.8305  12.8540  10.8483
   0.1205613436   0.1205613436  -2.61447  3.54815   11.8238  12.8463  10.8422
   0.1207976809   0.1207976809  -2.61217  3.54837   11.8172  12.8387  10.8361
   0.1210340182   0.1210340182  -2.60986  3.54858   11.8107  12.8310  10.8301
   0.1212703555   0.1212703555  -2.60756  3.54879   11.8041  12.8233  10.8240
   0.1215066928   0.1215066928  -2.60526  3.54900   11.7975  12.8156  10.8179
   0.1217430301   0.1217430301  -2.60297  3.54921   11.7909  12.8079  10.8119
   0.1219793673   0.1219793673  -2.60068  3.54942   11.7844  12.8003  10.8059
   0.1222157046   0.1222157046  -2.59839  3.54963   11.7778  12.7926  10.7999
   0.1224520419   0.1224520419  -2.59611  3.54984   11.7713  12.7850  10.7938
   0.1226883792   0.1226883792  -2.59383  3.55005   11.7648  12.7774  10.7878
   0.1229247165   0.1229247165  -2.59155  3.55026   11.7583  12.7697  10.7818
   0.1231610538   0.1231610538  -2.58927  3.55047   11.7518  12.7621  10.7759
   0.1233973910   0.1233973910  -2.58700  3.55068   11.7453  12.7545  10.7699
   0.1259267257   0.1259267257  -2.56265  3.55291   11.6757  12.6728  10.7060
   0.1284560604   0.1284560604  -2.53875  3.55510   11.6074  12.5924  10.6433
   0.1309853951   0.1309853951  -2.51530  3.55724   11.5402  12.5135  10.5817
   0.1335147298   0.1335147298  -2.49228  3.55934   11.4742  12.4361  10.5210
   0.1360440645   0.1360440645  -2.46969  3.56139   11.4093  12.3601  10.4615
   0.1385733992   0.1385733992  -2.44699  3.56344   11.3442  12.2841  10.4015
   0.1411027339   0.1411027339  -2.42450  3.56546   11.2796  12.2089  10.3422
   0.1436320686   0.1436320686  -2.40236  3.56744   11.2161  12.1351  10.2837
   0.1461614033   0.1461614033  -2.38057  3.56939   11.1536  12.0626  10.2261
   0.1486907380   0.1486907380  -2.35912  3.57131   11.0921  11.9914  10.1695
   0.1512200727   0.1512200727  -2.33994  3.57282   11.0380  11.9297  10.1192
   0.1537494074   0.1537494074  -2.32312  3.57392   10.9915  11.8778  10.0755
   0.1562787421   0.1562787421  -2.30654  3.57499   10.9457  11.8267  10.0325
   0.1588080767   0.1588080767  -2.29020  3.57605   10.9006  11.7764   9.9900
   0.1613374114   0.1613374114  -2.27401  3.57709   10.8559  11.7267   9.9480
   0.1638667461   0.1638667461  -2.25790  3.57813   10.8115  11.6773   9.9062
   0.1663960808   0.1663960808  -2.24200  3.57914   10.7677  11.6288   9.8650
   0.1689254155   0.1689254155  -2.22632  3.58014   10.7246  11.5809   9.8243
   0.1714547502   0.1714547502  -2.21085  3.58113   10.6820  11.5338   9.7842
   0.1739840849   0.1739840849  -2.19558  3.58210   10.6400  11.4874   9.7446
   0.1765134196   0.1765134196  -2.18051  3.58306   10.5986  11.4417   9.7056
   0.1790427543   0.1790427543  -2.16563  3.58400   10.5577  11.3966   9.6670
   0.1815720890   0.1815720890  -2.15156  3.58483   10.5192  11.3544   9.6307
   0.1841014237   0.1841014237  -2.13804  3.58559   10.4824  11.3142   9.5958
   0.1866307584   0.1866307584  -2.12470  3.58634   10.4461  11.2746   9.5613
   0.1891600931   0.1891600931  -2.11152  3.58708   10.4103  11.2354   9.5273
   0.1916894278   0.1916894278  -2.09851  3.58781   10.3749  11.1967   9.4938
   0.1942187624   0.1942187624  -2.08567  3.58853   10.3399  11.1585   9.4606
   0.1967480971   0.1967480971  -2.07298  3.58924   10.3053  11.1207   9.4278
   0.1992774318   0.1992774318  -2.06044  3.58995   10.2712  11.0834   9.3954
   0.2018067665   0.2018067665  -2.04857  3.59057   10.2390  11.0484   9.3648
   0.2043361012   0.2043361012  -2.03703  3.59116   10.2078  11.0145   9.3351
   0.2068654359   0.2068654359  -2.02558  3.59174   10.1768  10.9808   9.3056
