# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -1.990   Z = 0.0001609   Y = 0.24724580   Age (Myr) = 13500.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.89330  3.52366   12.5577  13.6439  11.5400
   0.1002179559   0.1002179559  -2.88960  3.52410   12.5464  13.6315  11.5294
   0.1004359117   0.1004359117  -2.88591  3.52455   12.5352  13.6191  11.5188
   0.1006538676   0.1006538676  -2.88222  3.52500   12.5239  13.6067  11.5082
   0.1008718235   0.1008718235  -2.87854  3.52545   12.5127  13.5944  11.4976
   0.1010897794   0.1010897794  -2.87486  3.52590   12.5015  13.5821  11.4870
   0.1013077352   0.1013077352  -2.87119  3.52634   12.4903  13.5698  11.4763
   0.1015256911   0.1015256911  -2.86753  3.52679   12.4791  13.5575  11.4657
   0.1017436470   0.1017436470  -2.86387  3.52723   12.4679  13.5453  11.4552
   0.1019616029   0.1019616029  -2.86022  3.52767   12.4567  13.5331  11.4446
   0.1021795587   0.1021795587  -2.85659  3.52811   12.4456  13.5209  11.4341
   0.1023975146   0.1023975146  -2.85298  3.52855   12.4345  13.5089  11.4236
   0.1026154705   0.1026154705  -2.84938  3.52899   12.4235  13.4968  11.4132
   0.1028334264   0.1028334264  -2.84578  3.52943   12.4125  13.4848  11.4028
   0.1030513822   0.1030513822  -2.84218  3.52987   12.4015  13.4727  11.3924
   0.1032693381   0.1032693381  -2.83859  3.53030   12.3905  13.4607  11.3821
   0.1034872940   0.1034872940  -2.83501  3.53074   12.3796  13.4488  11.3718
   0.1037052499   0.1037052499  -2.83143  3.53118   12.3687  13.4368  11.3615
   0.1039232057   0.1039232057  -2.82785  3.53161   12.3578  13.4249  11.3513
   0.1041411616   0.1041411616  -2.82429  3.53204   12.3470  13.4130  11.3412
   0.1043591175   0.1043591175  -2.82075  3.53247   12.3363  13.4012  11.3311
   0.1045770734   0.1045770734  -2.81722  3.53290   12.3256  13.3894  11.3211
   0.1047950292   0.1047950292  -2.81368  3.53333   12.3150  13.3776  11.3111
   0.1050129851   0.1050129851  -2.81016  3.53376   12.3044  13.3658  11.3012
   0.1052309410   0.1052309410  -2.80663  3.53419   12.2938  13.3541  11.2913
