# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -1.350   Z = 0.0007014   Y = 0.24780279   Age (Myr) = 12500.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.95389  3.50028   12.9095  14.1427  11.8267
   0.1002694982   0.1002694982  -2.94931  3.50087   12.8955  14.1253  11.8141
   0.1005389965   0.1005389965  -2.94473  3.50146   12.8815  14.1080  11.8015
   0.1008084947   0.1008084947  -2.94016  3.50205   12.8676  14.0907  11.7890
   0.1010779929   0.1010779929  -2.93562  3.50264   12.8537  14.0734  11.7765
   0.1013474911   0.1013474911  -2.93111  3.50322   12.8400  14.0563  11.7641
   0.1016169894   0.1016169894  -2.92662  3.50380   12.8263  14.0393  11.7518
   0.1018864876   0.1018864876  -2.92213  3.50438   12.8127  14.0222  11.7395
   0.1021559858   0.1021559858  -2.91765  3.50496   12.7990  14.0052  11.7273
   0.1024254840   0.1024254840  -2.91318  3.50554   12.7855  13.9882  11.7151
   0.1026949823   0.1026949823  -2.90872  3.50611   12.7719  13.9712  11.7029
   0.1029644805   0.1029644805  -2.90427  3.50669   12.7584  13.9543  11.6908
   0.1032339787   0.1032339787  -2.89983  3.50726   12.7449  13.9374  11.6787
   0.1035034769   0.1035034769  -2.89540  3.50783   12.7315  13.9205  11.6666
   0.1037729752   0.1037729752  -2.89097  3.50840   12.7181  13.9037  11.6546
   0.1040424734   0.1040424734  -2.88657  3.50897   12.7047  13.8869  11.6426
   0.1043119716   0.1043119716  -2.88219  3.50954   12.6914  13.8703  11.6306
   0.1045814698   0.1045814698  -2.87782  3.51010   12.6781  13.8537  11.6187
   0.1048509681   0.1048509681  -2.87346  3.51067   12.6649  13.8372  11.6068
   0.1051204663   0.1051204663  -2.86911  3.51123   12.6517  13.8207  11.5949
   0.1053899645   0.1053899645  -2.86476  3.51179   12.6385  13.8042  11.5830
   0.1056594627   0.1056594627  -2.86043  3.51235   12.6253  13.7878  11.5712
   0.1059289610   0.1059289610  -2.85610  3.51291   12.6121  13.7715  11.5593
   0.1061984592   0.1061984592  -2.85178  3.51346   12.5989  13.7553  11.5474
   0.1064679574   0.1064679574  -2.84749  3.51402   12.5858  13.7391  11.5356
   0.1067374556   0.1067374556  -2.84321  3.51457   12.5727  13.7231  11.5237
   0.1070069539   0.1070069539  -2.83893  3.51513   12.5596  13.7071  11.5119
   0.1072764521   0.1072764521  -2.83466  3.51568   12.5465  13.6911  11.5000
   0.1075459503   0.1075459503  -2.83040  3.51623   12.5334  13.6753  11.4881
   0.1078154485   0.1078154485  -2.82614  3.51678   12.5203  13.6595  11.4761
   0.1080849468   0.1080849468  -2.82191  3.51732   12.5073  13.6438  11.4642
   0.1083544450   0.1083544450  -2.81768  3.51787   12.4942  13.6282  11.4523
   0.1086239432   0.1086239432  -2.81346  3.51841   12.4811  13.6127  11.4403
   0.1088934415   0.1088934415  -2.80925  3.51896   12.4680  13.5973  11.4283
   0.1091629397   0.1091629397  -2.80504  3.51950   12.4550  13.5819  11.4163
   0.1094324379   0.1094324379  -2.80085  3.52004   12.4419  13.5667  11.4042
   0.1097019361   0.1097019361  -2.79667  3.52058   12.4288  13.5515  11.3921
   0.1099714344   0.1099714344  -2.79249  3.52112   12.4157  13.5364  11.3800
   0.1102409326   0.1102409326  -2.78832  3.52166   12.4027  13.5214  11.3679
   0.1105104308   0.1105104308  -2.78416  3.52220   12.3896  13.5064  11.3558
   0.1107799290   0.1107799290  -2.78001  3.52273   12.3765  13.4915  11.3436
   0.1110494273   0.1110494273  -2.77587  3.52327   12.3635  13.4767  11.3315
   0.1113189255   0.1113189255  -2.77173  3.52380   12.3504  13.4619  11.3193
   0.1115884237   0.1115884237  -2.76759  3.52434   12.3374  13.4472  11.3072
   0.1118579219   0.1118579219  -2.76347  3.52487   12.3243  13.4325  11.2950
   0.1121274202   0.1121274202  -2.75935  3.52540   12.3113  13.4179  11.2829
   0.1123969184   0.1123969184  -2.75524  3.52593   12.2983  13.4033  11.2707
   0.1126664166   0.1126664166  -2.75114  3.52646   12.2853  13.3888  11.2586
   0.1129359148   0.1129359148  -2.74704  3.52699   12.2724  13.3743  11.2465
   0.1132054131   0.1132054131  -2.74294  3.52752   12.2594  13.3599  11.2343
   0.1134749113   0.1134749113  -2.73886  3.52804   12.2465  13.3455  11.2223
   0.1137444095   0.1137444095  -2.73478  3.52857   12.2335  13.3311  11.2102
   0.1140139077   0.1140139077  -2.73070  3.52909   12.2207  13.3167  11.1981
   0.1142834060   0.1142834060  -2.72663  3.52962   12.2078  13.3024  11.1861
   0.1145529042   0.1145529042  -2.72256  3.53014   12.1949  13.2881  11.1741
   0.1148224024   0.1148224024  -2.71849  3.53066   12.1821  13.2738  11.1621
   0.1150919006   0.1150919006  -2.71443  3.53119   12.1693  13.2595  11.1502
   0.1153613989   0.1153613989  -2.71037  3.53171   12.1565  13.2452  11.1383
   0.1156308971   0.1156308971  -2.70632  3.53223   12.1438  13.2310  11.1265
   0.1159003953   0.1159003953  -2.70226  3.53275   12.1311  13.2168  11.1147
   0.1161698935   0.1161698935  -2.69822  3.53327   12.1184  13.2025  11.1029
   0.1164393918   0.1164393918  -2.69417  3.53379   12.1057  13.1883  11.0911
   0.1167088900   0.1167088900  -2.69012  3.53431   12.0931  13.1741  11.0794
   0.1169783882   0.1169783882  -2.68608  3.53482   12.0805  13.1598  11.0677
   0.1172478865   0.1172478865  -2.68204  3.53534   12.0679  13.1456  11.0561
   0.1175173847   0.1175173847  -2.67800  3.53586   12.0553  13.1313  11.0445
   0.1177868829   0.1177868829  -2.67396  3.53637   12.0427  13.1171  11.0329
   0.1180563811   0.1180563811  -2.66992  3.53689   12.0302  13.1028  11.0213
   0.1183258794   0.1183258794  -2.66588  3.53740   12.0177  13.0886  11.0098
   0.1185953776   0.1185953776  -2.66185  3.53792   12.0052  13.0743  10.9983
   0.1188648758   0.1188648758  -2.65781  3.53843   11.9927  13.0600  10.9868
   0.1191343740   0.1191343740  -2.65377  3.53895   11.9802  13.0457  10.9754
   0.1194038723   0.1194038723  -2.64974  3.53946   11.9678  13.0313  10.9639
   0.1196733705   0.1196733705  -2.64570  3.53997   11.9553  13.0170  10.9525
   0.1199428687   0.1199428687  -2.64166  3.54048   11.9429  13.0026  10.9412
   0.1202123669   0.1202123669  -2.63873  3.54078   11.9342  12.9927  10.9331
   0.1204818652   0.1204818652  -2.63610  3.54103   11.9265  12.9841  10.9259
   0.1207513634   0.1207513634  -2.63348  3.54127   11.9188  12.9754  10.9188
   0.1210208616   0.1210208616  -2.63087  3.54151   11.9112  12.9668  10.9117
   0.1212903598   0.1212903598  -2.62826  3.54176   11.9036  12.9582  10.9046
   0.1215598581   0.1215598581  -2.62565  3.54200   11.8960  12.9496  10.8975
   0.1218293563   0.1218293563  -2.62305  3.54224   11.8884  12.9410  10.8904
   0.1220988545   0.1220988545  -2.62045  3.54248   11.8808  12.9324  10.8834
   0.1223683527   0.1223683527  -2.61786  3.54272   11.8732  12.9238  10.8764
   0.1226378510   0.1226378510  -2.61527  3.54296   11.8657  12.9153  10.8694
   0.1229073492   0.1229073492  -2.61269  3.54320   11.8582  12.9067  10.8624
   0.1231768474   0.1231768474  -2.61011  3.54344   11.8506  12.8981  10.8554
   0.1234463456   0.1234463456  -2.60754  3.54368   11.8431  12.8896  10.8484
   0.1237158439   0.1237158439  -2.60497  3.54392   11.8356  12.8810  10.8415
   0.1239853421   0.1239853421  -2.60240  3.54416   11.8282  12.8725  10.8346
   0.1242548403   0.1242548403  -2.59984  3.54439   11.8207  12.8640  10.8277
   0.1245243385   0.1245243385  -2.59729  3.54463   11.8133  12.8554  10.8208
   0.1247938368   0.1247938368  -2.59473  3.54487   11.8058  12.8469  10.8139
   0.1250633350   0.1250633350  -2.59219  3.54510   11.7984  12.8384  10.8070
   0.1253328332   0.1253328332  -2.58965  3.54534   11.7910  12.8299  10.8002
   0.1256023315   0.1256023315  -2.58711  3.54558   11.7836  12.8214  10.7934
   0.1258718297   0.1258718297  -2.58457  3.54581   11.7763  12.8129  10.7865
   0.1261413279   0.1261413279  -2.58204  3.54605   11.7689  12.8044  10.7797
   0.1264108261   0.1264108261  -2.57951  3.54628   11.7615  12.7959  10.7730
   0.1266803244   0.1266803244  -2.57699  3.54652   11.7542  12.7874  10.7662
   0.1293563026   0.1293563026  -2.55190  3.54883   11.6813  12.7029  10.6990
   0.1320322808   0.1320322808  -2.52730  3.55110   11.6100  12.6195  10.6335
   0.1347082591   0.1347082591  -2.50319  3.55332   11.5400  12.5374  10.5693
   0.1373842373   0.1373842373  -2.47954  3.55549   11.4713  12.4568  10.5063
   0.1400602156   0.1400602156  -2.45634  3.55763   11.4039  12.3776  10.4444
   0.1427361938   0.1427361938  -2.43344  3.55972   11.3372  12.2995  10.3832
   0.1454121720   0.1454121720  -2.41038  3.56181   11.2702  12.2211  10.3216
   0.1480881503   0.1480881503  -2.38771  3.56386   11.2043  12.1442  10.2610
   0.1507641285   0.1507641285  -2.36662  3.56565   11.1435  12.0740  10.2048
   0.1534401068   0.1534401068  -2.34886  3.56682   11.0938  12.0181  10.1581
   0.1561160850   0.1561160850  -2.33137  3.56798   11.0449  11.9631  10.1122
   0.1587920633   0.1587920633  -2.31414  3.56912   10.9967  11.9090  10.0670
   0.1614680415   0.1614680415  -2.29717  3.57024   10.9494  11.8559  10.0225
   0.1641440197   0.1641440197  -2.28045  3.57135   10.9027  11.8036   9.9786
   0.1668199980   0.1668199980  -2.26397  3.57243   10.8568  11.7522   9.9354
   0.1694959762   0.1694959762  -2.24773  3.57350   10.8115  11.7016   9.8929
   0.1721719545   0.1721719545  -2.23171  3.57455   10.7669  11.6518   9.8510
   0.1748479327   0.1748479327  -2.21592  3.57559   10.7230  11.6029   9.8097
   0.1775239110   0.1775239110  -2.20034  3.57661   10.6797  11.5547   9.7690
   0.1801998892   0.1801998892  -2.18506  3.57760   10.6374  11.5076   9.7291
   0.1828758674   0.1828758674  -2.17102  3.57840   10.5989  11.4653   9.6927
   0.1855518457   0.1855518457  -2.15715  3.57920   10.5609  11.4237   9.6567
   0.1882278239   0.1882278239  -2.14327  3.57998   10.5230  11.3821   9.6207
   0.1909038022   0.1909038022  -2.12953  3.58076   10.4855  11.3410   9.5852
   0.1935797804   0.1935797804  -2.11598  3.58153   10.4485  11.3005   9.5501
   0.1962557586   0.1962557586  -2.10260  3.58228   10.4120  11.2606   9.5155
   0.1989317369   0.1989317369  -2.08940  3.58302   10.3760  11.2213   9.4813
   0.2016077151   0.2016077151  -2.07679  3.58370   10.3417  11.1840   9.4488
   0.2042836934   0.2042836934  -2.06462  3.58432   10.3088  11.1483   9.4174
   0.2069596716   0.2069596716  -2.05261  3.58494   10.2763  11.1131   9.3864
   0.2096356499   0.2096356499  -2.04075  3.58555   10.2442  11.0783   9.3559
   0.2123116281   0.2123116281  -2.02903  3.58615   10.2125  11.0439   9.3257
   0.2149876063   0.2149876063  -2.01746  3.58674   10.1812  11.0100   9.2958
   0.2176635846   0.2176635846  -2.00603  3.58733   10.1503  10.9765   9.2664
   0.2203395628   0.2203395628  -1.99474  3.58791   10.1197  10.9434   9.2373
   0.2230155411   0.2230155411  -1.98358  3.58848   10.0895  10.9106   9.2085
   0.2256915193   0.2256915193  -1.97255  3.58904   10.0596  10.8783   9.1801
   0.2283674975   0.2283674975  -1.96164  3.58960   10.0301  10.8462   9.1519
   0.2310434758   0.2310434758  -1.95081  3.59015   10.0008  10.8144   9.1240
   0.2337194540   0.2337194540  -1.94011  3.59069    9.9718  10.7830   9.0964
   0.2363954323   0.2363954323  -1.92953  3.59123    9.9431  10.7519   9.0691
   0.2390714105   0.2390714105  -1.91908  3.59176    9.9148  10.7211   9.0421
   0.2417473888   0.2417473888  -1.90874  3.59229    9.8867  10.6906   9.0154
   0.2444233670   0.2444233670  -1.89852  3.59281    9.8590  10.6605   8.9889
   0.2470993452   0.2470993452  -1.88841  3.59332    9.8316  10.6308   8.9628
   0.2497753235   0.2497753235  -1.87841  3.59383    9.8044  10.6013   8.9370
   0.2524513017   0.2524513017  -1.86890  3.59430    9.7787  10.5733   8.9124
   0.2551272800   0.2551272800  -1.85953  3.59476    9.7533  10.5458   8.8882
   0.2578032582   0.2578032582  -1.85026  3.59522    9.7282  10.5186   8.8643
   0.2604792365   0.2604792365  -1.84109  3.59568    9.7033  10.4917   8.8406
   0.2631552147   0.2631552147  -1.83199  3.59613    9.6787  10.4650   8.8172
   0.2658311929   0.2658311929  -1.82300  3.59657    9.6544  10.4386   8.7939
   0.2685071712   0.2685071712  -1.81410  3.59701    9.6303  10.4125   8.7710
   0.2711831494   0.2711831494  -1.80529  3.59745    9.6064  10.3867   8.7483
   0.2738591277   0.2738591277  -1.79657  3.59788    9.5829  10.3612   8.7258
   0.2765351059   0.2765351059  -1.78794  3.59830    9.5596  10.3359   8.7036
