# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -0.440   Z = 0.0056127   Y = 0.25501480   Age (Myr) = 14000.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -3.04279  3.46479   13.6569  15.5023  12.3820
   0.1003011996   0.1003011996  -3.03776  3.46549   13.6373  15.4711  12.3649
   0.1006023992   0.1006023992  -3.03274  3.46619   13.6176  15.4401  12.3479
   0.1009035988   0.1009035988  -3.02773  3.46688   13.5981  15.4093  12.3309
   0.1012047985   0.1012047985  -3.02274  3.46757   13.5786  15.3786  12.3140
   0.1015059981   0.1015059981  -3.01778  3.46826   13.5592  15.3481  12.2971
   0.1018071977   0.1018071977  -3.01285  3.46894   13.5399  15.3180  12.2804
   0.1021083973   0.1021083973  -3.00793  3.46962   13.5207  15.2880  12.2637
   0.1024095969   0.1024095969  -3.00302  3.47030   13.5016  15.2582  12.2471
   0.1027107965   0.1027107965  -2.99813  3.47098   13.4825  15.2285  12.2305
   0.1030119961   0.1030119961  -2.99325  3.47166   13.4634  15.1990  12.2140
   0.1033131958   0.1033131958  -2.98837  3.47233   13.4444  15.1697  12.1976
   0.1036143954   0.1036143954  -2.98351  3.47300   13.4255  15.1405  12.1812
   0.1039155950   0.1039155950  -2.97867  3.47368   13.4066  15.1115  12.1648
   0.1042167946   0.1042167946  -2.97383  3.47435   13.3878  15.0827  12.1485
   0.1045179942   0.1045179942  -2.96900  3.47501   13.3690  15.0540  12.1323
   0.1048191938   0.1048191938  -2.96420  3.47568   13.3504  15.0256  12.1161
   0.1051203935   0.1051203935  -2.95943  3.47634   13.3319  14.9975  12.1001
   0.1054215931   0.1054215931  -2.95466  3.47700   13.3134  14.9695  12.0842
   0.1057227927   0.1057227927  -2.94991  3.47766   13.2950  14.9417  12.0682
   0.1060239923   0.1060239923  -2.94516  3.47832   13.2767  14.9140  12.0524
   0.1063251919   0.1063251919  -2.94043  3.47897   13.2584  14.8866  12.0366
   0.1066263915   0.1066263915  -2.93570  3.47963   13.2402  14.8593  12.0209
   0.1069275911   0.1069275911  -2.93098  3.48028   13.2221  14.8322  12.0052
   0.1072287908   0.1072287908  -2.92629  3.48093   13.2041  14.8053  11.9896
   0.1075299904   0.1075299904  -2.92162  3.48158   13.1861  14.7786  11.9741
   0.1078311900   0.1078311900  -2.91695  3.48223   13.1683  14.7521  11.9587
   0.1081323896   0.1081323896  -2.91229  3.48287   13.1505  14.7257  11.9433
   0.1084335892   0.1084335892  -2.90765  3.48352   13.1327  14.6995  11.9279
   0.1087347888   0.1087347888  -2.90300  3.48416   13.1150  14.6735  11.9127
   0.1090359884   0.1090359884  -2.89838  3.48480   13.0974  14.6477  11.8974
   0.1093371881   0.1093371881  -2.89378  3.48544   13.0799  14.6220  11.8823
   0.1096383877   0.1096383877  -2.88918  3.48608   13.0624  14.5965  11.8672
   0.1099395873   0.1099395873  -2.88459  3.48671   13.0450  14.5712  11.8522
   0.1102407869   0.1102407869  -2.88000  3.48735   13.0277  14.5460  11.8372
   0.1105419865   0.1105419865  -2.87543  3.48798   13.0104  14.5210  11.8223
   0.1108431861   0.1108431861  -2.87088  3.48861   12.9932  14.4961  11.8074
   0.1111443857   0.1111443857  -2.86633  3.48924   12.9761  14.4715  11.7926
   0.1114455854   0.1114455854  -2.86179  3.48987   12.9590  14.4469  11.7778
   0.1117467850   0.1117467850  -2.85725  3.49050   12.9420  14.4225  11.7631
   0.1120479846   0.1120479846  -2.85273  3.49113   12.9251  14.3983  11.7484
   0.1123491842   0.1123491842  -2.84823  3.49175   12.9082  14.3742  11.7338
   0.1126503838   0.1126503838  -2.84372  3.49238   12.8913  14.3503  11.7192
   0.1129515834   0.1129515834  -2.83922  3.49300   12.8746  14.3264  11.7047
   0.1132527831   0.1132527831  -2.83474  3.49362   12.8578  14.3028  11.6902
   0.1135539827   0.1135539827  -2.83026  3.49425   12.8412  14.2793  11.6757
   0.1138551823   0.1138551823  -2.82578  3.49487   12.8246  14.2559  11.6613
   0.1141563819   0.1141563819  -2.82132  3.49549   12.8080  14.2326  11.6470
   0.1144575815   0.1144575815  -2.81686  3.49610   12.7915  14.2095  11.6327
   0.1147587811   0.1147587811  -2.81241  3.49672   12.7751  14.1865  11.6184
   0.1150599807   0.1150599807  -2.80796  3.49734   12.7587  14.1636  11.6041
   0.1153611804   0.1153611804  -2.80353  3.49795   12.7424  14.1409  11.5900
   0.1156623800   0.1156623800  -2.79909  3.49857   12.7261  14.1182  11.5758
   0.1159635796   0.1159635796  -2.79466  3.49918   12.7099  14.0957  11.5617
   0.1162647792   0.1162647792  -2.79024  3.49979   12.6937  14.0733  11.5476
   0.1165659788   0.1165659788  -2.78582  3.50041   12.6775  14.0510  11.5336
   0.1168671784   0.1168671784  -2.78141  3.50102   12.6615  14.0288  11.5196
   0.1171683780   0.1171683780  -2.77700  3.50163   12.6454  14.0067  11.5057
   0.1174695777   0.1174695777  -2.77259  3.50224   12.6294  13.9848  11.4918
   0.1177707773   0.1177707773  -2.76819  3.50285   12.6135  13.9629  11.4779
   0.1180719769   0.1180719769  -2.76379  3.50346   12.5976  13.9411  11.4641
   0.1183731765   0.1183731765  -2.75939  3.50407   12.5817  13.9194  11.4503
   0.1186743761   0.1186743761  -2.75499  3.50468   12.5659  13.8978  11.4365
   0.1189755757   0.1189755757  -2.75060  3.50529   12.5501  13.8763  11.4228
   0.1192767753   0.1192767753  -2.74621  3.50590   12.5344  13.8548  11.4092
   0.1195779750   0.1195779750  -2.74182  3.50651   12.5187  13.8335  11.3955
   0.1198791746   0.1198791746  -2.73743  3.50712   12.5031  13.8122  11.3819
   0.1201803742   0.1201803742  -2.73393  3.50753   12.4911  13.7964  11.3714
   0.1204815738   0.1204815738  -2.73102  3.50781   12.4817  13.7844  11.3629
   0.1207827734   0.1207827734  -2.72812  3.50809   12.4723  13.7724  11.3544
   0.1210839730   0.1210839730  -2.72522  3.50837   12.4629  13.7605  11.3460
   0.1213851726   0.1213851726  -2.72234  3.50866   12.4535  13.7486  11.3376
   0.1216863723   0.1216863723  -2.71946  3.50894   12.4442  13.7367  11.3292
   0.1219875719   0.1219875719  -2.71658  3.50921   12.4349  13.7248  11.3208
   0.1222887715   0.1222887715  -2.71371  3.50949   12.4256  13.7130  11.3125
   0.1225899711   0.1225899711  -2.71085  3.50977   12.4164  13.7013  11.3041
   0.1228911707   0.1228911707  -2.70799  3.51005   12.4071  13.6896  11.2958
   0.1231923703   0.1231923703  -2.70514  3.51033   12.3979  13.6779  11.2875
   0.1234935700   0.1234935700  -2.70230  3.51060   12.3887  13.6662  11.2793
   0.1237947696   0.1237947696  -2.69946  3.51088   12.3795  13.6546  11.2710
   0.1240959692   0.1240959692  -2.69663  3.51115   12.3703  13.6430  11.2628
   0.1243971688   0.1243971688  -2.69380  3.51143   12.3612  13.6315  11.2545
   0.1246983684   0.1246983684  -2.69098  3.51170   12.3521  13.6199  11.2463
   0.1249995680   0.1249995680  -2.68817  3.51198   12.3429  13.6084  11.2381
   0.1253007676   0.1253007676  -2.68535  3.51225   12.3338  13.5970  11.2299
   0.1256019673   0.1256019673  -2.68255  3.51252   12.3248  13.5855  11.2217
   0.1259031669   0.1259031669  -2.67975  3.51280   12.3157  13.5741  11.2135
   0.1262043665   0.1262043665  -2.67696  3.51307   12.3067  13.5628  11.2054
   0.1265055661   0.1265055661  -2.67417  3.51334   12.2976  13.5514  11.1973
   0.1268067657   0.1268067657  -2.67139  3.51361   12.2886  13.5401  11.1891
   0.1271079653   0.1271079653  -2.66861  3.51388   12.2796  13.5288  11.1810
   0.1274091649   0.1274091649  -2.66584  3.51415   12.2706  13.5175  11.1729
   0.1277103646   0.1277103646  -2.66307  3.51442   12.2616  13.5063  11.1648
   0.1280115642   0.1280115642  -2.66031  3.51469   12.2527  13.4951  11.1567
   0.1283127638   0.1283127638  -2.65755  3.51495   12.2437  13.4839  11.1486
   0.1286139634   0.1286139634  -2.65480  3.51522   12.2348  13.4727  11.1405
   0.1289151630   0.1289151630  -2.65205  3.51549   12.2258  13.4616  11.1324
   0.1292163626   0.1292163626  -2.64931  3.51576   12.2169  13.4505  11.1244
