# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -1.001   Z = 0.0015648   Y = 0.24881346   Age (Myr) = 12000.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.98731  3.48733   13.1455  14.5098  12.0088
   0.1003022071   0.1003022071  -2.98225  3.48799   13.1288  14.4877  11.9940
   0.1006044143   0.1006044143  -2.97720  3.48865   13.1121  14.4658  11.9793
   0.1009066214   0.1009066214  -2.97217  3.48931   13.0954  14.4440  11.9645
   0.1012088285   0.1012088285  -2.96715  3.48996   13.0788  14.4223  11.9498
   0.1015110357   0.1015110357  -2.96214  3.49062   13.0623  14.4007  11.9352
   0.1018132428   0.1018132428  -2.95714  3.49127   13.0458  14.3792  11.9206
   0.1021154499   0.1021154499  -2.95217  3.49192   13.0293  14.3578  11.9060
   0.1024176570   0.1024176570  -2.94724  3.49256   13.0131  14.3367  11.8916
   0.1027198642   0.1027198642  -2.94233  3.49320   12.9969  14.3157  11.8772
   0.1030220713   0.1030220713  -2.93742  3.49384   12.9807  14.2947  11.8628
   0.1033242784   0.1033242784  -2.93253  3.49448   12.9645  14.2739  11.8485
   0.1036264856   0.1036264856  -2.92764  3.49512   12.9484  14.2531  11.8342
   0.1039286927   0.1039286927  -2.92277  3.49576   12.9324  14.2324  11.8200
   0.1042308998   0.1042308998  -2.91791  3.49639   12.9164  14.2118  11.8057
   0.1045331070   0.1045331070  -2.91306  3.49703   12.9005  14.1913  11.7916
   0.1048353141   0.1048353141  -2.90822  3.49766   12.8845  14.1708  11.7774
   0.1051375212   0.1051375212  -2.90339  3.49829   12.8687  14.1505  11.7633
   0.1054397284   0.1054397284  -2.89860  3.49891   12.8530  14.1303  11.7493
   0.1057419355   0.1057419355  -2.89382  3.49954   12.8373  14.1103  11.7354
   0.1060441426   0.1060441426  -2.88905  3.50016   12.8217  14.0903  11.7215
   0.1063463498   0.1063463498  -2.88429  3.50078   12.8061  14.0703  11.7077
   0.1066485569   0.1066485569  -2.87954  3.50140   12.7906  14.0505  11.6939
   0.1069507640   0.1069507640  -2.87480  3.50202   12.7752  14.0307  11.6801
   0.1072529711   0.1072529711  -2.87007  3.50264   12.7597  14.0109  11.6664
   0.1075551783   0.1075551783  -2.86536  3.50326   12.7444  13.9913  11.6527
   0.1078573854   0.1078573854  -2.86067  3.50387   12.7291  13.9718  11.6392
   0.1081595925   0.1081595925  -2.85598  3.50448   12.7139  13.9524  11.6257
   0.1084617997   0.1084617997  -2.85131  3.50509   12.6988  13.9330  11.6122
